,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp
0,0.599999999998,0.0422061093119,0.034950982882,4.11294176787e-08,1.37164630011e-06,0.00352716865274,0.000121679873909,815.20076951,815.203675411,41.42
1,0.7,0.0476422387957,0.0396249452261,5.77833225142e-08,1.62097874284e-06,0.00390494163347,0.000140376893966,823.915397859,823.920763919,34.92
2,0.800000000001,0.0527365757071,0.0440436394034,7.57838784217e-08,1.82926671512e-06,0.00424095996943,0.000157502057214,831.033034473,831.040581067,31.29
3,0.900000000002,0.0575203724875,0.0482264176388,9.41652919058e-08,2.00239175655e-06,0.00454043984607,0.000172900495529,836.847707932,836.857060284,29.06
4,0.999999999997,0.0620211841062,0.0521909458925,1.12104792811e-07,2.1452128091e-06,0.00480782745129,0.000186540986373,841.593538506,841.604334732,27.61
5,1.1,0.0662633991613,0.0559533530088,1.28978142363e-07,2.26169617006e-06,0.00504693465466,0.000198473797207,845.45834391,845.470263993,26.62
6,1.2,0.0702686819927,0.0595283572239,1.44362696701e-07,2.35520152081e-06,0.00526104643792,0.000208798162787,848.593743398,848.606514054,25.91
7,1.3,0.0740563427297,0.0629293854152,1.58012079126e-07,2.42867073621e-06,0.00545300595837,0.000217639168211,851.12280537,851.136197386,25.39
8,1.4,0.0776436486167,0.0661686877416,1.69819971515e-07,2.48472520422e-06,0.00562528274498,0.000225132253336,853.145918623,853.159741999,24.99
9,1.6,0.0842775898859,0.0722058753027,1.87970906508e-07,2.55372792517e-06,0.0059191234103,0.000236613163377,855.988851148,856.003097925,24.45
10,1.8,0.0902768488471,0.0777183214787,1.99498997727e-07,2.5780746153e-06,0.00615674855885,0.000244246544892,857.622513212,857.636768099,24.12
11,2.0,0.0957283493814,0.0827717391075,2.05545133689e-07,2.57013215489e-06,0.006349091177,0.00024888481825,858.391168119,858.405165833,23.91
12,2.19999999999,0.100703835316,0.0874214937251,2.07307765693e-07,2.53931778028e-06,0.00650466402202,0.000251217234565,858.535727751,858.549305574,23.77
13,2.40000000001,0.105263045535,0.0917144941921,2.05862622648e-07,2.49267461562e-06,0.00663015788693,0.000251788324822,858.227309937,858.240374068,23.69
14,2.6,0.109456124149,0.0956907088585,2.02102732278e-07,2.43540427606e-06,0.00673087883044,0.000251023343076,857.589109861,857.601612163,23.65
