,Species,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,[Pt],0.0740140718201,0.0576075486489,0.131578982777,0.0903595208367,0.0683106146457
1,[Pt],-0.0904761558494,-0.0820873034265,-0.172637728712,-0.115510073583,-0.0929484208989
2,O=[Pt],0.074330308489,0.0592115315821,0.133497827957,0.0913028041071,0.0697149489425
3,C[Pt],-0.0904715718285,-0.08203765916,-0.172583451748,-0.115484792761,-0.0929068296494
4,O[Pt],-0.0904709257918,-0.0820370854474,-0.17258223095,-0.115483795668,-0.0929062846355
5,O.[Pt],-0.127877157765,-0.118029570284,-0.24605766091,-0.164119789141,-0.132998401479
6,O=C=O.[Pt],-0.0918871463199,-0.0820752346918,-0.174037797603,-0.116722918821,-0.0933728446995
7,O=C=[Pt],-0.127884731441,-0.118038182369,-0.246073866623,-0.16419355628,-0.132970290246
8,C~[Pt],-0.00754359264314,-0.0232546820234,-0.030800028905,-0.0173074303409,-0.0207606225608
9,C=[Pt],-0.037624484832,-0.0360195237231,-0.0736575607154,-0.0489044163416,-0.0401515619264
10,C#[Pt],-0.0151809852721,-0.0130549442598,-0.028237911401,-0.0190527093148,-0.0150364532221
11,C.[Pt],-0.0918971116251,-0.0820839533578,-0.174056497765,-0.116735363891,-0.0933829155874
12,[H][H].[Pt],-0.0373852699037,-0.0343653905134,-0.0717635080111,-0.0479470248794,-0.0387643279145
13,[C-]#[O+].[Pt],-0.107274922824,-0.106790959688,-0.214180442431,-0.141228672278,-0.117756987443
14,O=C[Pt],-0.127881676385,-0.11804449731,-0.246077130978,-0.16413681325,-0.133008044145
