,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],-30.847532017,-0.0013457620337,30.8461124599,-0.000260853415385,30.8475320807,-0.0013458107683,-23.5741444867,30.8433964556,-0.00181487614619,-1.70530256582e-12,5.19711258156e-13,29.4170403587
1,[Pt],-25.2400750288,-0.00158082148971,25.2359342099,0.00172553581016,25.2400752148,-0.00158097001282,-20.1520912547,25.2381552916,4.7951476393e-05,-1.2180732613e-12,2.76096605895e-13,-27.9820627803
2,O=[Pt],-41.3999901722,-0.00151396212244,41.3985878212,-0.000522185342838,41.3999902352,-0.00151400667352,-29.2775665399,41.3983910339,0.000383012618428,-3.32940024756e-12,2.76096605895e-13,-27.9820627803
3,C[Pt],-14.8492854159,-0.0018492784718,14.8481345656,-0.00084720729608,14.8492854676,-0.00184932348531,-12.927756654,14.8490292825,0.00162625744516,5.52193211791e-12,2.93961680394e-12,496.233183857
4,O[Pt],-30.8473775209,-0.00122768709003,30.8413215659,0.00340062833327,30.8473777929,-0.00122789499611,-23.5741444867,30.8423440949,-0.00261915175233,4.22265397252e-12,1.867712334e-12,227.264573991
5,O.[Pt],-25.8392642079,-0.00154456071679,25.8357732867,0.00122959340423,25.8392643648,-0.00154468533309,-20.5323193916,25.8363533091,-0.000768663110927,5.87923360789e-12,3.26443634029e-12,405.829596413
6,O=C=O.[Pt],-28.2950749734,-0.00186452300735,28.2939014726,-0.00094981709448,28.2950750261,-0.00186456409635,-22.0532319391,28.2949001825,0.001728279165,-2.07884503262e-12,2.76096605895e-13,-27.9820627803
7,O=C=[Pt],-38.4233993602,-0.00169535529093,38.4222647149,-0.000875649546562,38.4233994111,-0.0016953921125,-27.7566539924,38.422404044,0.000976305615158,8.44530794503e-13,1.4941698672e-12,112.107623318
8,C~[Pt],-30.848617296,-0.00217519583705,30.8494246878,-0.00279225189521,30.8486172597,-0.00217516811863,-23.5741444867,30.8504428503,0.00357039134634,3.29691829393e-12,3.02082168803e-12,79.6412556054
9,C=[Pt],-22.8991125594,-0.00155926885874,22.8940505723,0.00255961032384,22.8991127867,-0.00155945388069,-18.6311787072,22.896760348,-0.0003546977854,-8.21793426959e-12,1.91643526445e-12,54.0807174888
10,C#[Pt],-17.4128337659,-0.00180518466586,17.4139070066,-0.00271927557371,17.4128337177,-0.00180514360449,-14.8288973384,17.4132211291,0.0021351062055,-1.28303716857e-12,2.76096605895e-13,-27.9820627803
11,C.[Pt],-44.5079812903,-0.00172089292187,44.5054511852,2.99782511854e-05,44.5079814039,-0.00172097157182,-30.7984790874,44.5065759235,0.000748357731869,5.71682383972e-12,3.03706266485e-12,81.0762331839
12,[H][H].[Pt],-28.2943921782,-0.00133230624767,28.2892391729,0.0026842948965,28.2943924097,-0.00133248667526,-22.0532319391,28.2902383165,-0.00190549473627,5.57065504836e-12,2.97209875758e-12,507.98206278
13,[C-]#[O+].[Pt],-19.5476966882,-0.00187555666123,19.5466814043,-0.00102626980756,19.5476967338,-0.00187559481158,-16.3498098859,19.5476116285,0.00180440410411,-2.54983336033e-12,2.50111042988e-12,-10.3139013453
14,CC.[Pt],-22.3256514736,-5.72883657483e-05,22.3238581141,0.00140876600399,22.3256515542,-5.7354221585e-05,-18.2509505703,22.3248105532,-0.000630156065994,-4.88853402203e-12,1.90019428763e-12,80.1793721973
15,C=C.[Pt],-22.8991193573,-0.00156480023533,22.8958510322,0.00109459733169,22.8991195041,-0.00156491969671,-18.6311787072,22.8968081592,-0.000315794353989,-8.39658501458e-12,1.70530256582e-12,35.6950672646
16,[CH]C.[Pt],-22.8991193573,-0.00156480023533,22.8958510322,0.00109459733169,22.8991195041,-0.00156491969671,-18.6311787072,22.8968081592,-0.000315794353989,-8.39658501458e-12,1.70530256582e-12,35.6950672646
