,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],0.000562147654675,0.00773071751022,-2.03695948646e-08,0.00716850918678,0.00128398622219,0.00845260782297,0.00716852955783,-0.00451994378203,0.00264826176229,2.5054612059e-09,2.51057710991e-09,-71.2105945012
1,[Pt],-0.000281930926406,-0.0038788894936,-1.3925774626e-07,-0.00359710796088,-0.000643758859811,-0.00424070441215,-0.00359696870816,0.00226456080494,-0.00133248935876,-1.26780221857e-09,-1.26499253161e-09,-71.2105945012
2,O=[Pt],-2.94909343604e-06,0.00140919137699,-1.48683956142e-06,0.0014106536515,-4.82666597068e-06,0.00140731377795,0.00141214051207,1.1348165934e-05,0.00142348883826,1.02309959723e-09,1.02293718758e-09,-48.0063336692
3,C[Pt],-1.37208564773e-07,-5.44085183637e-08,-1.33256282008e-07,-5.04562284186e-08,-1.42283400065e-07,-5.94833344273e-08,8.28000465717e-08,-1.01503833888e-07,-1.87037901863e-08,-4.38506058024e-13,-5.52192813808e-13,-47.963149561
4,O[Pt],4.39895103705e-07,-8.29246894076e-08,4.39886008041e-07,-8.29337767964e-08,4.39906782778e-07,-8.29129925131e-08,-5.22819784766e-07,4.39851083161e-07,-8.29687091867e-08,-4.70987988248e-13,-7.63325360264e-13,-11.371815172
5,O.[Pt],2.40284928487e-06,-0.0013796489702,-9.01640178184e-07,-0.00138295341397,6.64590090906e-06,-0.00137540597719,-0.00138205178627,-2.66420344687e-05,-0.00140869345254,-1.04021757446e-09,-1.01486542792e-09,-71.224989204
6,O=C=O.[Pt],-1.12898236526e-06,-1.11697123645e-10,-1.12897099243e-06,-1.00318257266e-10,-1.12899698254e-06,-1.26293664275e-10,1.12887069052e-06,-1.12885722385e-06,1.34534005652e-11,-2.28997608079e-12,-2.07884353434e-12,-58.3417302433
7,O=C=[Pt],-4.36738890726e-07,3.92743427796e-09,-4.36699497061e-07,3.96682493969e-09,-4.36789473232e-07,3.87685562957e-09,4.40666327662e-07,-4.36353171005e-07,4.31315271929e-09,-1.36424106941e-12,-1.6240965112e-12,-67.2376565424
8,C~[Pt],-3.09813552415e-08,-1.82009718166e-06,3.9755768791e-07,-1.3915581256e-06,-5.81236772964e-07,-2.3703525591e-06,-1.78911582394e-06,3.83932312854e-06,2.05020723563e-06,-7.14602464928e-13,6.33397639368e-13,-71.224989204
9,C=[Pt],-0.000282192133677,-0.00387887541053,-4.00805658813e-07,-0.00359709421766,-0.000644019629689,-0.00424068989269,-0.00359669342643,0.00226429657917,-0.00133247828707,-1.31295210158e-09,-1.26585330276e-09,-71.1961997985
10,C#[Pt],2.94490962203e-07,-8.10343451227e-09,2.95017220713e-07,-7.57717444665e-09,2.93815232397e-07,-8.77915209015e-09,-3.02594389539e-07,2.99284667226e-07,-3.30972408644e-09,-9.17614528828e-12,-2.11132546456e-12,-70.99467396
11,C.[Pt],-1.14888008911e-06,7.51875586873e-09,-1.14886481976e-06,7.53401632714e-09,-1.14889970961e-06,7.49914681386e-09,1.15639886769e-06,-1.14872324283e-06,7.6756151362e-09,-3.73542197576e-13,-7.95807290488e-13,-1.05081330071
12,[H][H].[Pt],-4.40757120506e-07,-9.07975057284e-11,-4.40747646171e-07,-8.13313432912e-11,-4.4076930006e-07,-1.02966531782e-10,4.40666327662e-07,-4.40647572269e-07,1.87547405648e-11,-1.77026519721e-12,-1.91643388322e-12,-51.7489563841
13,[C-]#[O+].[Pt],-4.41027838177e-07,-3.61521042699e-10,-4.40995839881e-07,-3.29512685582e-10,-4.41068910575e-07,-4.02577945713e-10,4.40666327662e-07,-4.4069356791e-07,-2.72443864605e-11,-2.07884353434e-12,-2.11132546456e-12,-51.8209298978
14,O=C[Pt],3.0263724944e-07,4.2857917313e-11,3.02635952576e-07,4.15629528778e-11,3.02638900389e-07,4.45206857959e-11,-3.02594389539e-07,3.02635293066e-07,4.08978375917e-11,-1.57537361586e-12,-1.70530133676e-12,-47.214625018
