,C/O ratio,CH4 Conv,O2 Conv,CO Selec,H2 Selec,H2O Selec
0,0.6,0.105399529544,0.250975617649,0.00838973298033,4.76365249874e-07,0.666647096061
1,0.7,0.100757448094,0.279802800204,0.00841119626889,5.13404385829e-07,0.666647475831
2,0.8,0.0965122062903,0.306183108421,0.0084604793299,5.49471974595e-07,0.666647850348
3,0.9,0.0926173472912,0.330426166899,0.00852930721404,5.84768620042e-07,0.666648212497
4,1.0,0.0890329674697,0.35279341194,0.0086122405137,6.19466365048e-07,0.666648558174
5,1.1,0.0857247054534,0.373506744094,0.00870554960136,6.53710532286e-07,0.666648885243
6,1.2,0.0826628734539,0.392755446662,0.00880659092389,6.87622962074e-07,0.666649192791
7,1.3,0.0798217323946,0.410701771068,0.00891343940777,7.21305547869e-07,0.666649480707
8,1.4,0.0771788837598,0.42748543666,0.00902466212524,7.54843492271e-07,0.666649749358
9,1.6,0.0724122315161,0.458032319088,0.00925613483791,8.21760252847e-07,0.66665023171
10,1.8,0.0682333673488,0.485186666746,0.00949494277892,8.88821950211e-07,0.666650646704
11,2.0,0.0645414731621,0.509553852364,0.00973733588181,9.56354253943e-07,0.666651001823
12,2.2,0.0612570828979,0.531604171491,0.00998091260846,1.02460054148e-06,0.666651304176
13,2.4,0.0583168177701,0.551707806577,0.0102240979492,1.09374883086e-06,0.666651560154
14,2.6,0.0556695806598,0.570159667831,0.0104658437011,1.16394979307e-06,0.666651775358
