,C/O ratio,CH4 Conv,O2 Conv,CO Selec,H2 Selec,H2O Selec
0,0.6,0.597656217254,1.0,0.318734852688,0.0235099489357,0.641217202633
1,0.7,0.521414200483,1.0,0.320255674058,0.028308544283,0.636594310413
2,0.8,0.463876397483,1.0,0.321283053912,0.032205762219,0.632810620162
3,0.9,0.418826789038,1.0,0.322040025327,0.035514003519,0.629578672117
4,1.0,0.382531826058,1.0,0.322620704682,0.0384070069279,0.626738309273
5,1.1,0.352621006746,1.0,0.323080588319,0.0409944852154,0.624187686561
6,1.2,0.327513572554,1.0,0.323457484022,0.043345219231,0.621862625768
7,1.3,0.306113281083,1.0,0.323775953572,0.045505645174,0.619719550219
8,1.4,0.287635298751,1.0,0.324051102275,0.0475091384155,0.617727028776
9,1.6,0.257282328675,1.0,0.324506105411,0.0511384615789,0.61410581653
10,1.8,0.233324037543,1.0,0.32486780636,0.0543737793701,0.610866125639
11,2.0,0.21387750766,1.0,0.325161017649,0.0573094156246,0.607918341347
12,2.2,0.197740673499,1.0,0.325401695726,0.060011003762,0.605199822769
13,2.4,0.184108732737,1.0,0.325601138673,0.0625249890308,0.602666064581
14,2.6,0.172421723859,1.0,0.325767802497,0.0648851020567,0.600284603189
