,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp
0,0.599999999998,0.0422061093119,0.0422061093116,5.14471015773e-19,6.27109616591e-20,1.55179425705e-13,8.06497197036e-28,700.000000002,700.000000002,35.86
1,0.7,0.0476422387957,0.0476422387953,6.4073797225e-19,7.08086308512e-20,1.78081324787e-13,1.0044713205e-27,700.000000002,700.000000002,51.16
2,0.800000000001,0.0527365757071,0.0527365757067,7.74408415651e-19,7.840489378e-20,2.00298249831e-13,1.21406349358e-27,700.000000002,700.000000002,58.18
3,0.900000000002,0.0575203724875,0.0575203724871,9.1477302599e-19,8.55427250351e-20,2.21876165683e-13,1.43416208519e-27,700.000000002,700.000000002,36.88
4,0.999999999997,0.0620211841062,0.0620211841057,1.06123364347e-18,9.2263904711e-20,2.42852300763e-13,1.66382963788e-27,700.000000002,700.000000002,67.42
5,1.1,0.0662633991613,0.0662633991608,1.2133674805e-18,9.86054559695e-20,2.63278857667e-13,1.90240363492e-27,700.000000002,700.000000002,69.87
6,1.2,0.0702686819927,0.0702686819921,1.37069028024e-18,1.04598362703e-19,2.83173235592e-13,2.14912503967e-27,700.000000002,700.000000002,25.57
7,1.3,0.0740563427297,0.0740563427291,1.53289928766e-18,1.10272575596e-19,3.02578434982e-13,2.40351943311e-27,700.000000003,700.000000003,22.68
8,1.4,0.0776436486167,0.077643648616,1.69966618914e-18,1.15653012728e-19,3.21518327684e-13,2.66507223548e-27,700.000000003,700.000000003,19.98
9,1.6,0.0842775898859,0.0842775898852,2.04581119473e-18,1.25622231191e-19,3.58102455562e-13,3.20798784981e-27,700.000000003,700.000000003,20.1
10,1.8,0.0902768488471,0.0902768488463,2.40733059406e-18,1.3466426613e-19,3.93114557365e-13,3.77505910449e-27,700.000000003,700.000000003,23.45
11,2.0,0.0957283493814,0.0957283493805,2.78274911236e-18,1.4290823094e-19,4.26709229501e-13,4.36397376305e-27,700.000000003,700.000000003,40.77
12,2.19999999999,0.100703835316,0.100703835315,3.17087727263e-18,1.50459734862e-19,4.59021993083e-13,4.97286753764e-27,700.000000003,700.000000003,19.96
13,2.40000000001,0.105263045535,0.105263045534,3.57071097451e-18,1.57407101414e-19,4.9016798922e-13,5.60016676126e-27,700.000000004,700.000000004,47.21
14,2.6,0.109456124149,0.109456124148,3.98140377332e-18,1.63831571404e-19,5.2024758101e-13,6.24454439537e-27,700.000000004,700.000000004,19.99
