,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO Yield,H2 Selectivity,H2 Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],-6.53797152429e-06,-7.39654874231e-06,-2.1780830567e-05,2.09222535779e-05,2.0124462748e-05,-6.77601412709,8.58577168922e-07,-7.0349027621e-06,-6.17632564253e-06,2.69631657646e-06,4.54443654313e-07,0.0
1,[Pt],-1.02171339124e-07,-1.20319872474e-07,2.87443844582e-07,-3.055923769e-07,1.32832963803e-08,-6.7759888197,1.81485249397e-08,-1.33125197309e-07,-1.1497667938e-07,-7.28427727329e-09,3.94766651643e-08,0.0
2,O=[Pt],3.22181082195e-06,3.42681998937e-06,-1.28122634314e-06,1.48623550125e-06,-4.15284362264e-06,-6.77598286709,-2.0500916871e-07,3.75411925231e-06,3.54911007069e-06,-4.48701857611e-07,-1.36319663454e-07,0.0
3,C[Pt],6.3248224003e-09,-4.69673423378e-09,-1.11622512377e-08,1.40696088978e-10,-4.00395924494e-09,-6.77598876005,1.10215516737e-08,3.97494742028e-09,1.49964972561e-08,2.15306535976e-10,2.51335985583e-11,0.0
4,O[Pt],7.275550184e-07,7.71982390948e-07,-1.19451425193e-06,1.23894162327e-06,-5.0352232412e-07,-6.7759878981,-4.4427381562e-08,8.53632683849e-07,8.09205307632e-07,-6.37717228427e-08,3.39713874863e-09,0.0
5,O.[Pt],-3.6265972798e-07,-4.01341462406e-07,5.19098606541e-07,-5.57780344603e-07,2.87605160178e-07,-6.77598924376,3.86817276039e-08,-4.24344278817e-07,-3.85662554747e-07,4.38731783774e-08,7.48455470655e-10,0.0
6,O=C=O.[Pt],4.68593091985e-08,4.67779002416e-08,1.28706363915e-07,-1.28787770096e-07,-1.31090325412e-07,-6.77598859563,8.1402099531e-11,4.92034176541e-08,4.92848169121e-08,-1.70692571912e-08,-6.25818005118e-09,0.0
7,O=C=[Pt],1.30177326638e-05,1.44343191942e-05,9.26850613401e-06,-7.8519193001e-06,-2.37099853656e-05,-6.77595648163,-1.41658671196e-06,1.45859748366e-05,1.3169387918e-05,-3.35547535817e-06,-7.92959248627e-07,0.0
8,C~[Pt],-6.17162496225e-08,-7.80425552414e-08,6.94711792437e-08,-8.57974949801e-08,5.79956726379e-08,-6.77598885146,1.63263117297e-08,-8.42446092681e-08,-6.79182888819e-08,-3.77560331958e-09,-1.84932182862e-09,0.0
9,C=[Pt],4.12657433371e-08,3.11053944261e-08,-5.26798202451e-08,4.25194605475e-08,-3.57896131935e-08,-6.77598871541,1.01603514026e-08,4.9389705313e-08,5.95500648465e-08,3.42760727595e-09,2.67236733371e-09,0.0
10,C#[Pt],-1.07769455961e-08,-3.21290622156e-08,1.70992863526e-08,-3.84514039568e-08,7.74368073668e-09,-6.77598879019,2.13521159783e-08,-1.60429896945e-08,5.30913570936e-09,6.29223229266e-09,1.53097519781e-09,0.0
11,C.[Pt],-9.36279419335e-06,-1.01009336967e-05,1.30338789507e-05,-1.3772018482e-05,7.60152050349e-06,-6.77600122295,7.38139432846e-07,-1.09487782745e-05,-1.02106389255e-05,1.02570487232e-06,3.26203054674e-07,0.0
12,[H][H].[Pt],-5.53955901862e-07,-6.44117156954e-07,8.67743980885e-07,-9.5790525343e-07,4.03410021775e-07,-6.77598951722,9.01612580434e-08,-6.18627369578e-07,-5.28466118436e-07,1.2043360207e-07,1.07603949741e-07,0.0
13,[C-]#[O+].[Pt],-5.7382179818e-10,3.76074386287e-10,8.5538793619e-10,9.45048525588e-11,4.38728307903e-10,-6.77598875742,-9.49894032471e-10,-4.60716978722e-10,-1.41060285209e-09,-9.14450575613e-11,-1.05546372831e-10,0.0
14,O=C[Pt],4.5185202959e-09,-7.21061230929e-09,-8.92588077089e-09,-2.80326566471e-09,-2.40400414336e-09,-6.77598876287,1.17291354737e-08,1.45828739233e-09,1.31874291928e-08,1.31561979969e-10,-2.47896392427e-11,0.0
