,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO Yield,H2 Selectivity,H2 Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],-3.75896696959e-05,-4.76670108667e-05,4.66224702211e-05,-5.66998123029e-05,3.3517785576e-05,-4.40946299819,1.00773373882e-05,-1.76767989426e-05,-7.59946334105e-06,2.22330783277e-05,5.80186055798e-06,0.0
1,[Pt],1.56945236456e-08,2.43359912178e-08,2.68063901219e-07,-2.59422436135e-07,-1.43609582528e-07,-4.40939560642,-8.6414675854e-09,1.53545405456e-08,6.71306692638e-09,-5.64167352034e-09,3.42322184863e-08,0.0
2,O=[Pt],7.11140215128e-06,8.5195517045e-06,-9.52718943403e-06,1.09353389378e-05,-6.02239259079e-06,-4.4093844639,-1.40814964497e-06,3.96867242614e-06,2.56052271892e-06,-3.11287321813e-06,-9.03550349833e-07,0.0
3,C[Pt],-4.50015596226e-08,-3.14758186498e-08,5.37404466751e-08,-4.02147020227e-08,4.10622004665e-08,-4.40939580881,-1.35257389174e-08,-3.60995739432e-08,-4.96253115108e-08,-5.04365026358e-09,2.23374808379e-09,0.0
4,O[Pt],2.15530840169e-06,2.66930576524e-06,-5.28334910105e-06,5.79734644635e-06,-7.45223078802e-07,-4.40939332702,-5.13997375541e-07,1.14485549765e-06,6.30858114566e-07,-1.01473588116e-06,-2.57457939113e-07,0.0
5,O.[Pt],-1.22267602585e-06,-1.50992093729e-06,2.95971176087e-06,-3.2469566823e-06,4.39639996981e-07,-4.40939718507,2.87244906703e-07,-6.27170573792e-07,-3.39925670943e-07,6.05043946538e-07,1.55242017549e-07,0.0
6,O=C=O.[Pt],9.76419939855e-08,1.5336815958e-07,2.95168821474e-08,2.62092830787e-08,-1.54963758588e-07,-4.40939547232,-5.57261579318e-08,2.51076397343e-08,-3.06185262944e-08,-1.02138560915e-07,-2.59489735277e-08,0.0
7,O=C=[Pt],5.20034484348e-05,6.62488311269e-05,-8.97700465236e-05,0.000104015423836,-3.49786939089e-05,-4.40931441994,-1.42453901002e-05,2.45398968501e-05,1.02945032483e-05,-3.02810710599e-05,-8.09562844506e-06,0.0
8,C~[Pt],-4.90701051715e-08,-2.25336904873e-08,3.21735329866e-08,-5.63712431696e-09,5.66869125628e-08,-4.40939580697,-2.65364147658e-08,-4.56139454002e-08,-7.21503636027e-08,-1.85141575827e-08,1.6183275709e-10,0.0
9,C=[Pt],4.05686161595e-08,6.7026492958e-08,-1.13693192692e-07,1.40151075734e-07,-7.60488555417e-09,-4.40939570896,-2.6457877977e-08,1.96245219003e-08,-6.83336486382e-09,-2.87564228063e-08,-1.67888434452e-09,0.0
10,C#[Pt],-2.52084947309e-08,-2.48352417941e-08,4.58760071375e-08,-4.55027630756e-08,1.58918223282e-08,-4.40939579421,-3.73247601933e-10,-1.64658336387e-08,-1.68390822529e-08,5.32739741685e-09,2.86887415004e-09,0.0
11,C.[Pt],-2.27483564607e-05,-2.83650505943e-05,5.4357028766e-05,-5.99737246793e-05,8.49952512514e-06,-4.40942275639,5.61669285504e-06,-1.16750697282e-05,-6.05837752751e-06,1.13866565366e-05,3.17186991885e-06,0.0
12,[H][H].[Pt],-2.55980491843e-07,-3.59135397962e-07,8.05058801633e-07,-9.08213712399e-07,8.46222686016e-09,-4.40939607048,1.03154906451e-07,-7.7161708361e-08,2.59931948266e-08,2.16541907699e-07,1.32687163576e-07,0.0
13,[C-]#[O+].[Pt],-5.61078927014e-08,-3.06440785839e-08,4.86361583021e-08,-2.31723486601e-08,5.94760900016e-08,-4.40939581489,-2.54638079995e-08,-4.92158473698e-08,-7.46796537384e-08,-1.52733087516e-08,1.57390006873e-09,0.0
14,O=C[Pt],-3.29588959089e-08,-1.93986586357e-08,3.12470349788e-08,-1.7686799394e-08,3.3730607508e-08,-4.40939579607,-1.35602355152e-08,-2.82794459642e-08,-4.18396890905e-08,-7.57386926332e-09,1.19948255383e-09,0.0
