,Reaction,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,C + [Pt] <=> C.[Pt],-2.09060297514e-05,-2.73148694147e-05,-4.82209048726e-05,-1.6593932566e-06,-3.26565345162e-05
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.213850334402,0.711181791457,0.92351126122,1.23924749652,0.403621839488
2,[H][H] + 2 [Pt] <=> 2 [Pt],-0.000360250957452,-0.000360700587517,-0.000720952844403,-1.18346766657e-06,-0.000570582399865
3,[H] + [Pt] <=> [Pt],-4.42564392657e-05,-4.53806957474e-05,-8.96371550909e-05,-1.33428450192e-06,-6.96100342253e-05
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-1.96007736176e-05,-2.13996574799e-05,-4.1000435292e-05,3.52852400349e-08,-3.08517649164e-05
5,O + 2 [Pt] <=> O[Pt] + [Pt],-2.13358460276e-05,-1.81874603004e-05,-3.95233102017e-05,-1.89399230688e-06,-3.32000125665e-05
6,[OH] + [Pt] <=> O[Pt],-1.91664925215e-05,-2.17524419889e-05,-4.09189386744e-05,-1.02471733797e-06,-3.02737113045e-05
7,C + 2 [Pt] <=> C[Pt] + [Pt],-1.94436976081e-05,-2.2029647081e-05,-4.14733489651e-05,-1.03367953562e-06,-3.08886580045e-05
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.000579822020467,-0.00937139400875,-0.00995127036661,-0.0131820823872,-0.00714410918106
9,CC + 2 [Pt] <=> 2 C[Pt],-3.27831107135e-05,-3.68307539929e-05,-6.96138767774e-05,-2.5366748595e-06,-5.22089880206e-05
10,[CH3] + [Pt] <=> C[Pt],0.297393488173,-0.695105330324,-0.395644644163,-0.491903071567,-0.813106944939
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],-1.85092629796e-05,-3.03151237612e-05,-4.88243923536e-05,-1.51952618038e-05,-3.5871351085e-05
12,[H][H] + [Pt] <=> [H][H].[Pt],-1.89867559863e-05,-2.01110121803e-05,-3.90977719765e-05,-9.81801612747e-07,-3.01958752096e-05
13,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-2.09866558824e-05,-4.11129249281e-05,-6.20995894366e-05,-3.00396751598e-05,-4.71257160063e-05
14,O + [Pt] <=> O.[Pt],-4.82935272981e-05,-0.000500968697433,-0.000549262466674,-0.000673599911802,-0.00039412711955
15,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.0325819609024,-0.528778764085,-0.561533011477,-0.744983822581,-0.402752430136
16,O[Pt] + [Pt] <=> O.[Pt] + [Pt],-1.89001914796e-05,-2.56463448489e-05,-4.45465411768e-05,-1.79620007841e-06,-3.06741125588e-05
17,CC + [Pt] <=> CC.[Pt],-2.06180672309e-05,-2.56776515188e-05,-4.62957240431e-05,-7.3333490877e-07,-3.2376968144e-05
18,[CH]C + [Pt] <=> [CH]C.[Pt],-2.01657686696e-05,-2.84860533413e-05,-4.86518277564e-05,-2.13088725076e-06,-3.1936998216e-05
19,C=C + [Pt] <=> C=C.[Pt],-2.08743331932e-05,-2.13239617204e-05,-4.21982993704e-05,-8.83786636867e-07,-3.26948425642e-05
20,CO + [Pt] <=> CO.[Pt],-2.06283983746e-05,-1.9503895686e-05,-4.01322980887e-05,-3.76856844161e-07,-3.27824293988e-05
21,O=C=O + [Pt] <=> O=C=O.[Pt],-1.99313734087e-05,-2.33043885148e-05,-4.32357665709e-05,-1.54571830426e-06,-3.13621489135e-05
22,[C-]#[O+] + [Pt] <=> O=C=[Pt],-2.20741910106e-05,-3.23059209426e-05,-5.43801190877e-05,-3.34375602655e-06,-3.42503943708e-05
23,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],-2.06263054626e-05,-2.53485759314e-05,-4.59748866228e-05,-1.52779328708e-06,-3.21090055276e-05
24,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-2.06691360031e-05,-2.34799613918e-05,-4.41491022488e-05,-2.37365114648e-06,-3.27736592426e-05
25,O=C=O.[Pt] + [Pt] <=> O[Pt] + O=C=[Pt],-2.08194294886e-05,-2.49795102379e-05,-4.57989449215e-05,-6.77042421928e-07,-3.30914692128e-05
26,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.367944800549,-0.367947283161,-0.737245926607,-0.999844999073,-3.20784823379e-05
27,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-7.68951085557e-05,-8.37537038372e-05,-0.000160648876787,-0.000154541708519,-3.22312392902e-05
28,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-2.05338699661e-05,-2.75048993342e-05,-4.80387749452e-05,-1.00981224817e-06,-3.24458983253e-05
29,C~[Pt] + [H][H] <=> C=[Pt],-1.59163342224e-05,-2.85092602652e-05,-4.44255990269e-05,-1.9896440484e-06,-2.52956419711e-05
