,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO Yield,H2 Selectivity,H2 Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],3.98405893316e-07,1.10769922665e-05,-2.29608618251e-06,1.29746723631e-05,-3.98405893316e-07,12.6089117702,-1.06785864238e-05,-5.28150985956e-07,-1.1206737341e-05,6.69128199886e-12,6.69128199886e-12,0.0
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],5.45288322715e-07,7.81957307423e-06,-3.33735339381e-06,1.06116379459e-05,-5.45288322715e-07,12.6089118985,-7.27428479024e-06,-5.42657850018e-07,-7.81694259452e-06,1.253803326e-11,1.253803326e-11,0.0
2,[H][H] + 2 [Pt] <=> 2 [Pt],0.00112829635008,0.00110403019946,0.000296075388095,-0.000320341884357,-0.00112829635008,12.6098618386,2.42664244189e-05,0.00020345098954,0.000227717463327,1.27248044808e-10,1.27248044808e-10,0.0
3,[H] + [Pt] <=> [Pt],6.20938956836e-07,-9.79237791517e-07,-2.34193269236e-06,7.4175597669e-07,-6.20938956836e-07,12.6089118483,1.60017675385e-06,-6.97003970991e-07,9.03172765379e-07,-4.87229271762e-14,-4.87229271762e-14,0.0
4,C + 2 [Pt] <=> C[Pt] + [Pt],0.00251282309821,-0.00277517548483,-0.00540308814657,0.00011524240456,-0.00251282309821,12.6064641129,0.00528813146443,0.000455306176793,0.00574346171841,6.10092253125e-10,6.10092253125e-10,0.0
5,CC + 2 [Pt] <=> 2 C[Pt],-0.000144969717756,-0.000204414011968,-0.000384233871421,0.000324789891789,0.000144969717756,12.6087728018,5.94442080401e-05,1.9537607522e-05,7.89818271797e-05,7.37340297933e-12,7.37340297933e-12,0.0
6,[CH3] + [Pt] <=> C[Pt],0.0282447293312,-0.0475244712158,-0.186074898994,0.110425318891,-0.0282447293312,12.567161716,0.0757906073989,0.00510575643708,0.0809002335199,7.91481214611e-09,7.91481214611e-09,0.0
7,[H][H] + [Pt] <=> [H][H].[Pt],2.15165212939e-07,1.21158086166e-05,6.98592448408e-07,1.12020510686e-05,-2.15165212939e-07,12.6089116101,-1.19006434302e-05,-5.83362586939e-07,-1.24840059511e-05,-1.48929747402e-11,-1.48929747402e-11,0.0
8,CC + [Pt] <=> CC.[Pt],4.20900448691e-07,3.30159934423e-06,-3.81139761437e-07,3.26183865611e-06,-4.20900448691e-07,12.6089117898,-2.88069890649e-06,-5.55305589086e-07,-3.43600447525e-06,2.80968880049e-12,2.80968880049e-12,0.0
9,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.00118410059504,0.000836924267905,0.000846869788022,-0.00119405316629,-0.00118410059504,12.6096280238,0.000347180438102,0.000213368949148,0.000560550128028,1.4620126348e-10,1.4620126348e-10,0.0
10,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.300447997041,0.208659892265,0.626886551199,-0.71952840385,-0.300447997041,12.7889205524,0.0920647113574,0.0542990179032,0.146413719495,3.61905782577e-08,3.61905782577e-08,0.0
11,O + [Pt] <=> O.[Pt],3.82748597082e-07,1.16432668829e-05,-7.12007469719e-07,1.19725257227e-05,-3.82748597082e-07,12.6089116983,-1.12605183311e-05,-6.67929164521e-07,-1.19284474265e-05,-6.49639029016e-14,-6.49639029016e-14,0.0
12,O=C=O + [Pt] <=> O=C=O.[Pt],4.40325228404e-07,7.94738274442e-06,1.28442346885e-06,6.22263417789e-06,-4.40325228404e-07,12.608911865,-7.50705754645e-06,-4.42413382947e-07,-7.94947088999e-06,1.46331191286e-11,1.46331191286e-11,0.0
13,[C-]#[O+] + [Pt] <=> O=C=[Pt],5.05129578456e-07,9.69978961045e-06,0.000422021081243,-0.000412826382361,-5.05129578456e-07,12.6089118053,-9.19466007644e-06,-6.26690429468e-07,-9.8213504466e-06,6.9673785862e-12,6.9673785862e-12,0.0
14,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],3.05034299435e-07,5.13520507381e-06,0.999998864215,-0.999993985743,-3.05034299435e-07,12.608911805,-4.83017078861e-06,-4.29352406699e-07,-5.25952317902e-06,1.13199600806e-11,1.13199600806e-11,0.0
15,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],5.37413519359e-07,9.15014164615e-06,-2.18032297518e-06,1.07930509639e-05,-5.37413519359e-07,12.6089118335,-8.61272816916e-06,-6.02413330039e-07,-9.21514145256e-06,9.37104299355e-12,9.37104299355e-12,0.0
16,O=C=O.[Pt] + [Pt] <=> O[Pt] + O=C=[Pt],5.05835610129e-07,7.48915440824e-06,-0.990098510494,0.990105424671,-5.05835610129e-07,12.6089118059,-6.98331883102e-06,-6.15705035784e-07,-7.59902382219e-06,1.40971669296e-11,1.40971669296e-11,0.0
17,C=[Pt] + [Pt] <=> C[Pt] + [Pt],4.58526360427e-07,6.42346433969e-06,-1.21357933592e-06,7.17851727038e-06,-4.58526360427e-07,12.6089118809,-5.96493800725e-06,-4.87635538831e-07,-6.45257351445e-06,1.45356732742e-11,1.45356732742e-11,0.0
18,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],5.3446185541e-07,5.94656451971e-06,-1.78796152968e-06,7.2000641322e-06,-5.3446185541e-07,12.6089118309,-5.41210269589e-06,-6.1551236476e-07,-6.02761503098e-06,1.46818420558e-11,1.46818420558e-11,0.0
19,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],6.85832271504e-07,9.21127059892e-06,1.62557241294e-07,8.36288115483e-06,-6.85832271504e-07,12.608911905,-8.52543838139e-06,-6.07564218144e-07,-9.13300254381e-06,1.34475279006e-11,1.34475279006e-11,0.0
20,[Pt] + O=[Pt] <=> O[Pt] + [Pt],1.29966163243,0.90826507805,1.05602992115,-1.45676797904,-1.29966163243,13.3926244001,0.396550367358,0.234885597246,0.632367404303,1.56790087315e-07,1.56790087315e-07,0.0
21,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.14961209241,-0.103830825153,0.187074756165,-0.141276363648,0.14961209241,12.5193330741,-0.0457128752672,-0.027039917069,-0.0727404316127,-1.7996186695e-08,-1.7996186695e-08,0.0
22,C~[Pt] + [H][H] <=> C=[Pt],3.77569743912e-07,6.72076346816e-06,-1.51148963938e-06,7.85468329421e-06,-3.77569743912e-07,12.608911752,-6.34319374307e-06,-5.50885124872e-07,-6.89407882944e-06,1.72641571961e-11,1.72641571961e-11,0.0
23,O[Pt] + [Pt] <=> O.[Pt] + [Pt],2.65593223518e-05,2.18458111603e-05,4.71111691279e-05,-5.18246837796e-05,-2.65593223518e-05,12.6089274165,4.71351243936e-06,4.29154089811e-06,9.00505354094e-06,3.32615182856e-11,3.32615182856e-11,0.0
