,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-1.09911539868e-06,-2.83474420065e-07,0.000278556063145,-0.0002777404199,1.09911539868e-06,-2.83474440589e-07,-8.15640969487e-07,7.74913538685e-07,-4.0727438599e-08,3.39923612525e-11,3.39923612525e-11,0.0
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],-1.52474413123e-07,-3.44383298378e-07,-4.63087963177e-05,4.6116887534e-05,1.52474413123e-07,-3.44383298378e-07,1.91908893565e-07,-2.15586658085e-07,-2.36777643575e-08,4.64491892892e-11,4.64491892892e-11,0.0
2,[H][H] + 2 [Pt] <=> 2 [Pt],0.00100277866374,0.000955856103709,0.000241364250799,-0.000288287394625,-0.00100277866374,0.000955856103689,4.69230305718e-05,0.000144540730221,0.000191463828609,1.1799068538e-10,1.1799068538e-10,0.0
3,[H] + [Pt] <=> [Pt],8.67581260164e-07,-3.558667445e-07,-0.000221202440224,0.000219978994914,-8.67581260164e-07,-3.558667445e-07,1.22344802102e-06,-1.21052961041e-06,1.29183970818e-08,4.17230654839e-11,4.17230654839e-11,0.0
4,C + 2 [Pt] <=> C[Pt] + [Pt],0.0017005933446,-0.00210497766796,-0.00389138080834,8.58931691462e-05,-0.0017005933446,-0.00210497766796,0.00380563573096,0.000250246365876,0.0040558916203,5.75531440853e-10,5.75531440853e-10,0.0
5,CC + 2 [Pt] <=> 2 C[Pt],-1.61369760162e-06,-1.34981013551e-06,3.91137660039e-05,-3.88498784375e-05,1.61369760162e-06,-1.34981011499e-06,-2.63887467038e-07,4.64191428916e-07,2.00303958869e-07,5.31079891523e-12,5.31079891523e-12,0.0
6,[CH3] + [Pt] <=> C[Pt],0.02591015906,-0.0349001532219,-0.141850288346,0.0811104978912,-0.02591015906,-0.0349001532219,0.060826072414,0.00381191061419,0.0646403016637,8.26105327898e-09,8.26105327898e-09,0.0
7,[H][H] + [Pt] <=> [H][H].[Pt],-1.80150248636e-06,-2.62901824571e-08,0.000140590314019,-0.000138815099268,1.80150248636e-06,-2.6290202981e-08,-1.77521226162e-06,1.73644602732e-06,-3.8766265113e-08,3.31315895629e-12,3.31315895629e-12,0.0
8,CC + [Pt] <=> CC.[Pt],4.33324923294e-07,-3.82305294175e-07,2.3970692985e-05,-2.47863234105e-05,-4.33324923294e-07,-3.82305294175e-07,8.15630231344e-07,-8.23750852495e-07,-8.12063491787e-09,4.80408048662e-11,4.80408048662e-11,0.0
9,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.00158509634301,0.00108648702177,0.00120602675997,-0.00170464999825,-0.00158509634301,0.00108648702177,0.000498617224814,0.000232096861264,0.00073071524335,2.23735675401e-10,2.23735675401e-10,0.0
10,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.333289274107,0.226106671478,0.74982627968,-0.858173675881,-0.333289274107,0.226106671478,0.107541025332,0.0490277970821,0.156621547409,4.19937213368e-08,4.19937213368e-08,0.0
11,O + [Pt] <=> O.[Pt],-2.66881709035e-08,-2.18597062461e-07,9.58787031406e-06,-9.77977923675e-06,2.66881709035e-08,-2.18597062461e-07,1.91908893565e-07,-2.15578150865e-07,-2.36692627187e-08,4.76510214596e-11,4.76510214596e-11,0.0
12,O=C=O + [Pt] <=> O=C=O.[Pt],-2.18584784294e-06,-3.38667702231e-07,0.0560591443497,-0.0560572961341,2.18584784294e-06,-3.38667702231e-07,-1.84718009695e-06,1.83827643191e-06,-8.90370347406e-09,3.49830607444e-11,3.49830607444e-11,0.0
13,[C-]#[O+] + [Pt] <=> O=C=[Pt],-8.63372962509e-08,-3.98192592915e-07,0.000355944357372,-0.000356256213781,8.63372962509e-08,-3.98192592915e-07,3.11855299818e-07,-3.20313974851e-07,-8.45867166799e-09,5.07043248115e-11,5.07043248115e-11,0.0
14,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],-2.25587768547e-06,-4.32686831888e-07,1.00003004839,-1.00002820697,2.25587768547e-06,-4.32686831888e-07,-1.82319081148e-06,1.84069785671e-06,1.75070116866e-08,1.62247343007e-11,1.62247343007e-11,0.0
15,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-7.31064271246e-07,-4.19198222012e-07,-9.71493543923e-05,9.74612201255e-05,7.31064271246e-07,-4.19198222012e-07,-3.11866037961e-07,3.39179945063e-07,2.73139055929e-08,2.82430560048e-11,2.82430560048e-11,0.0
16,O=C=O.[Pt] + [Pt] <=> O[Pt] + O=C=[Pt],-1.61984244647e-06,-3.4840509874e-07,-0.990007172228,0.990008431078,1.61984244647e-06,-3.4840509874e-07,-1.27143733009e-06,1.27213871937e-06,7.01373121265e-10,1.5477649438e-11,1.5477649438e-11,0.0
17,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-1.51096372095e-07,-3.43005262677e-07,8.68552302782e-05,-8.70471393309e-05,1.51096372095e-07,-3.43005262677e-07,1.91908893565e-07,-2.04900978466e-07,-1.29920860019e-08,4.64491892892e-11,4.64491892892e-11,0.0
18,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-6.70862526946e-07,-3.35007204468e-07,8.71204878004e-05,-8.67846321947e-05,6.70862526946e-07,-3.35007204468e-07,-3.35855323422e-07,3.17986384176e-07,-1.78689472196e-08,4.46302000583e-11,4.46302000583e-11,0.0
19,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],5.12354303565e-07,-3.03275912401e-07,-0.000301970842123,0.000301155214368,-5.12354303565e-07,-3.03275912401e-07,8.15630231344e-07,-8.41377786867e-07,-2.57475631853e-08,4.75048526821e-11,4.75048526821e-11,0.0
20,[Pt] + O=[Pt] <=> O[Pt] + [Pt],1.34188600939,0.915636094461,1.03552090623,-1.4720423483,-1.34188600939,0.915636094461,0.432047499886,0.197388498793,0.630288810753,1.69380769131e-07,1.69380769131e-07,0.0
21,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.166359683475,-0.112775981951,0.125917951889,-0.0723558845514,0.166359683475,-0.112775981951,-0.0534947078965,-0.0244725752016,-0.0779541915655,-2.08997964797e-08,-2.08997964797e-08,0.0
22,C~[Pt] + [H][H] <=> C=[Pt],-2.14980352494e-06,-3.50601955648e-07,0.000123853200713,-0.000122053996949,2.14980352494e-06,-3.50601955648e-07,-1.79920152602e-06,1.80666802155e-06,7.46645555266e-09,2.43939448645e-11,2.43939448645e-11,0.0
23,O[Pt] + [Pt] <=> O.[Pt] + [Pt],2.34983648493e-05,1.50301556089e-05,0.000447024698953,-0.000455492948046,-2.34983648493e-05,1.50301556089e-05,8.46821124081e-06,2.22724230949e-06,1.06954537428e-05,-1.43245401934e-11,-1.43245401934e-11,0.0
