,Species,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,[Pt],-0.00141242811176,-0.00124668041993,-0.00265912614014,-0.00127456107475,0.000464863272584
1,[Pt],1.10133662681e-05,1.09953280408e-05,2.20086930949e-05,1.12564146679e-05,-4.25394386854e-06
2,O=[Pt],-0.00142128582802,-0.00221830203843,-0.00363961939485,-0.00220525581907,-0.0021322253416
3,C[Pt],-7.88733931496e-08,-8.86330988048e-08,-1.67506480844e-07,5.68002576576e-10,-3.94508656803e-06
4,O[Pt],0.00139255340867,0.00139267113661,0.0027852051516,0.00141253015113,-3.37004027429e-06
5,O.[Pt],2.61199580413e-05,0.000657228351671,0.000683348138046,0.000632254299613,0.00166015213664
6,O=C=O.[Pt],-4.77988926577e-06,-4.88154060001e-06,-9.6614300982e-06,-4.79350661683e-06,-2.83879602036e-06
7,O=C=[Pt],-9.22143862671e-08,-1.67374434144e-07,-2.59588814397e-07,2.72435624964e-10,-4.61286423137e-06
8,C~[Pt],-5.43525304853e-08,-8.89478041428e-08,-1.4330033907e-07,1.38119017412e-10,-2.82150853207e-06
9,C=[Pt],0.00140840045009,0.00140840393596,0.00281678455009,0.001428556996,-2.00785539009e-06
10,C#[Pt],-6.24801277381e-08,-1.16116002288e-07,-1.78596121439e-07,1.23395241454e-09,-3.21621667784e-06
11,C.[Pt],-1.0958303588e-07,-1.83087389433e-07,-2.92670423461e-07,-4.59096277063e-08,-4.49463859819e-06
12,[H][H].[Pt],-9.67107090749e-08,-1.6524794431e-07,-2.61958647139e-07,1.21729926766e-10,-4.92191345274e-06
13,[C-]#[O+].[Pt],-5.31254289138e-08,-9.43435344753e-08,-1.47468961457e-07,-4.67080281544e-10,-2.75682553862e-06
14,CC.[Pt],-6.90704824536e-08,-1.01182208044e-07,-1.70252689974e-07,-1.42431936003e-10,-3.45830399025e-06
15,C=O.[Pt],-8.60806504866e-08,-8.75618270543e-08,-1.73642470433e-07,3.57813809319e-10,-4.24780053152e-06
16,CO.[Pt],-7.6096520868e-08,-6.76434713305e-08,-1.43739983111e-07,2.19325113171e-10,-3.85317469814e-06
17,C=C.[Pt],-5.84814426422e-08,-9.72159773766e-08,-1.55697413884e-07,2.46804565908e-10,-3.05766464978e-06
18,[CH]C.[Pt],-7.41393784815e-08,-4.41621606083e-08,-1.18301542319e-07,1.09600943463e-10,-3.77132217177e-06
