,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO Yield,H2 Selectivity,H2 Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],5.19198828612e-05,6.19559013969e-05,9.84795220093e-06,1.88072550596e-07,-5.61658902166e-05,5.94577157601,-1.00360237614e-05,1.1286800694e-05,1.25077579443e-06,-8.62924755874e-07,-1.15962401004e-10,0.0
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],-0.14391876738,-0.197194847807,0.826792658185,-0.880432024219,0.0969770611829,5.809183205,0.0531995163387,-0.0535141713703,-0.000343124311938,0.00264719409447,0.00572705589443,0.0
2,[H][H] + 2 [Pt] <=> 2 [Pt],-3.9657374771e-05,-2.56669712209e-05,-0.00109871725653,0.00111270750083,0.000117910838841,5.94560481753,-1.39903980208e-05,-1.3288465103e-05,-2.72788612621e-05,8.1468251854e-07,-4.87337029615e-06,0.0
3,[H] + [Pt] <=> [Pt],-2.81642521274e-05,-4.51601142436e-06,-1.83325999798e-05,4.19808296946e-05,3.13605107539e-05,5.94569267025,-2.36482340524e-05,-7.16481398628e-06,-3.08130463397e-05,-5.91566291939e-07,-2.30706064418e-06,0.0
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],7.79956187542e-05,8.349386234e-05,0.000346518452809,-0.000341020185897,-0.00010717730969,5.94581825102,-5.49824787553e-06,1.75030787386e-05,1.20048298914e-05,-1.28279546785e-06,1.87705454285e-06,0.0
5,O + 2 [Pt] <=> O[Pt] + [Pt],0.00259079944645,0.00216735533934,-0.0032623590055,0.00283891774215,-0.00254463550324,5.94801035472,0.000423455077973,0.000589362914752,0.0010128204884,-1.36025868019e-05,0.000230134292767,0.0
6,[OH] + [Pt] <=> O[Pt],-0.00260354511803,-0.00208103100878,0.048782854399,-0.0482600990027,-0.000570885179935,5.94637351649,-0.000522500505723,-0.000549887388252,-0.00107238502082,-2.63201578551e-05,-0.000313281805828,0.0
7,C + 2 [Pt] <=> C[Pt] + [Pt],-0.00527283854609,-0.00419884483372,0.0641924512836,-0.0631178248117,0.00122262197227,5.9448451625,-0.00107393708542,-0.00111461980636,-0.00218854492147,-1.77822885936e-05,-0.000435960708126,0.0
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.113109989714,-0.134664000437,0.999760164025,-1.0215050675,0.0521604168242,5.87480094229,0.0215296585288,-0.0371363092455,-0.0156146460373,-6.04178673268e-05,-0.00124296506121,0.0
9,CC + 2 [Pt] <=> 2 C[Pt],-0.000360611626422,-0.000259034447534,0.00424616740907,-0.00414458628334,9.35130882839e-05,5.94565773788,-0.000101576812602,-7.34998509621e-05,-0.0001750765889,-7.07561639979e-07,-2.32584318796e-05,0.0
10,[CH3] + [Pt] <=> C[Pt],-0.0213170909617,-0.0165318856462,0.230310615802,-0.225515411849,0.00695058380391,5.94058543577,-0.00478418546634,-0.00435949573431,-0.00914347263428,6.64864833215e-06,-0.00107346575532,0.0
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],3.37079875453e-05,4.09744864971e-05,1.99682571927e-05,-1.27017543491e-05,-3.73977676718e-05,5.94575138344,-7.26650140542e-06,7.43604743845e-06,1.69545486021e-07,-5.41687602189e-07,-3.16443569533e-08,0.0
12,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-4.25780935272e-05,-5.03045175008e-05,-7.25849898313e-06,-4.67921139825e-07,4.6003930586e-05,5.94566044982,7.72642067367e-06,-8.98145348703e-06,-1.25503351296e-06,8.16104229418e-07,2.75078522387e-09,0.0
13,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],4.75796664749e-05,5.67449075123e-05,9.06356587785e-06,1.01680343394e-07,-5.14734014832e-05,5.94576644341,-9.16524539928e-06,1.03257368176e-05,1.16049047083e-06,-7.94955648315e-07,1.31365203185e-10,0.0
14,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],5.01055196631e-05,5.97832899498e-05,9.57208527772e-06,1.05690776507e-07,-5.4207841685e-05,5.94576943622,-9.67777513906e-06,1.0893701413e-05,1.21592521743e-06,-8.2787634698e-07,2.41511980955e-09,0.0
15,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],5.18148229466e-05,6.17716746633e-05,9.81537402474e-06,1.41483838338e-07,-5.60513688671e-05,5.94577142045,-9.95685689359e-06,1.123121862e-05,1.2743605988e-06,-8.71199597474e-07,1.84255260081e-10,0.0
16,2 C=[Pt] <=> C[Pt] + C#[Pt],5.18202046944e-05,6.19107116566e-05,9.87084059734e-06,2.19672597605e-07,-5.60609334216e-05,5.94577149976,-1.00905122103e-05,1.13072750872e-05,1.21676174127e-06,-8.415451802e-07,-1.70557115849e-10,0.0
