,Species,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,[Pt],0.000173774822664,0.000198667723186,0.00037244220061,8.52762142484e-06,0.000314773823474
1,[Pt],-0.000176810749446,-0.000202028870786,-0.000378839977456,2.39207307191e-05,-0.000332545991528
2,O=[Pt],0.000184554735918,0.000211206852111,0.000395761198237,-1.46325995215e-07,0.000341865864766
3,C[Pt],0.000170710218305,0.000195092903178,0.000365802788427,-2.47866438896e-05,0.000321567817941
4,O[Pt],0.000172079292015,0.000196673764047,0.000368752717624,-2.12115367371e-05,0.000323079208733
5,O.[Pt],0.000169632902902,0.000193786322542,0.000363418896707,-2.77978946237e-05,0.000320302393566
6,O=C=O.[Pt],0.000170704595293,0.00019510716693,0.00036581142916,-2.49291517208e-05,0.000321639037731
7,O=C=[Pt],0.000171071691083,0.000195702807846,0.000366774164124,-3.84312802733e-05,0.000328310149771
8,C~[Pt],0.000130762686524,0.000149469766221,0.000280232257292,-1.88676998767e-05,0.000246318124596
9,C=[Pt],0.000170707214849,0.000195099601734,0.000365806483529,-2.4786285912e-05,0.000321572803301
10,C#[Pt],0.000170694442019,0.000195086067341,0.000365780176342,-2.48206268902e-05,0.000321559414995
11,C.[Pt],0.000153789360568,0.000175429695475,0.00032921878625,-6.76124923698e-05,0.000301919789663
12,[H][H].[Pt],0.000170225735597,0.000194473152509,0.000364698557063,-2.6270929046e-05,0.000320981464564
13,[C-]#[O+].[Pt],0.000168994773664,0.000193138916134,0.000362133363403,-2.45457828196e-05,0.00031834594181
14,O=C[Pt],0.00016264135548,0.000185894633389,0.000348535686518,-2.36006372444e-05,0.000306389589385
15,O=C(O)[Pt],-0.000754134226257,-0.000861798592406,-0.00161593931778,9.54954190093e-05,-0.00141653778486
