,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp
0,0.599999999998,0.0422061093119,0.0422041471613,6.44965895414e-13,6.23920185391e-13,1.25567547737e-06,2.08972890748e-07,700.04467467,700.04467467,70.0
1,0.7,0.0476422387957,0.047640060522,6.60833577641e-13,7.70248236134e-13,1.38279342351e-06,2.25102575401e-07,700.047870038,700.047870038,70.0
2,0.800000000001,0.0527365757071,0.0527342011884,6.73902156285e-13,9.15240147634e-13,1.49723434937e-06,2.39131241274e-07,700.050558952,700.050558952,70.0
3,0.900000000002,0.0575203724875,0.0575178190683,6.84887828867e-13,1.05724007295e-12,1.60081839553e-06,2.51455956194e-07,700.052843997,700.052843997,70.0
4,0.999999999997,0.0620211841062,0.0620184670182,6.94270933976e-13,1.1952598778e-12,1.69501084672e-06,2.6237469311e-07,700.054802342,700.054802342,70.0
5,1.1,0.0662633991613,0.0662605318557,7.02388203913e-13,1.32871863737e-12,1.78101221855e-06,2.72116849788e-07,700.056493146,700.056493146,70.0
6,1.2,0.0702686819927,0.0702656764069,7.09484206875e-13,1.45724788858e-12,1.85981983609e-06,2.80862721972e-07,700.057962504,700.057962504,70.0
7,1.3,0.0740563427297,0.0740532095052,7.15741791784e-13,1.5807196126e-12,1.93227163567e-06,2.88756461915e-07,700.059246833,700.059246833,70.0
8,1.4,0.0776436486167,0.0776403972781,7.21300994547e-13,1.69910115795e-12,1.99907831423e-06,2.95915002459e-07,700.060375261,700.060375261,70.0
9,1.6,0.0842775898859,0.0842741271445,7.30739649737e-13,1.92086414577e-12,2.11810248214e-06,3.08394324653e-07,700.062254273,700.062254273,70.0
10,1.8,0.0902768488471,0.0902732026901,7.38439006497e-13,2.12359545387e-12,2.22082434789e-06,3.18892855713e-07,700.063741384,700.063741384,70.0
11,2.0,0.0957283493814,0.0957245428862,7.44824036516e-13,2.30877068746e-12,2.31022303854e-06,3.2783237153e-07,700.064934049,700.064934049,70.0
12,2.19999999999,0.100703835316,0.100699887712,7.50190322981e-13,2.47787274685e-12,2.38860002072e-06,3.35522271775e-07,700.065901147,700.065901147,70.0
13,2.40000000001,0.105263045535,0.105258972994,7.54750737452e-13,2.63249453298e-12,2.45776235965e-06,3.42195070954e-07,700.066692556,700.066692556,70.0
14,2.6,0.109456124149,0.109451940388,7.58662912651e-13,2.77409225072e-12,2.51914880482e-06,3.48029080519e-07,700.067345142,700.067345142,70.0
