,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp
0,0.599999999998,0.0422061093119,0.0422060996152,1.02289945035e-19,6.52512519761e-20,4.84830577704e-09,7.91862408615e-26,700.000048381,700.000048381,70.0
1,0.7,0.0476422387957,0.0476422276595,1.27986717132e-19,7.502348754e-20,5.56803003219e-09,1.06694116649e-25,700.000053949,700.000053956,58.79
2,0.800000000001,0.0527365757071,0.0527365631742,1.55267251323e-19,8.49624606658e-20,6.26643914363e-09,1.37943542888e-25,700.000059102,700.000059102,70.0
3,0.900000000002,0.0575203724875,0.0575203585976,1.83980833268e-19,9.5262429334e-20,6.94493519249e-09,1.72826097656e-25,700.0000639,700.0000639,70.0
4,0.999999999997,0.0620211841062,0.0620211688965,2.14003825607e-19,1.06126504738e-19,7.60479346111e-09,2.11242100891e-25,700.000068392,700.000068392,70.0
5,1.1,0.0662633991613,0.0662633826669,2.45232754022e-19,1.17773629284e-19,8.24717448364e-09,2.53099754211e-25,700.000072618,700.000072618,70.0
6,1.2,0.0702686819927,0.0702686642463,2.77579682143e-19,1.30407469065e-19,8.87313639165e-09,2.98314429989e-25,700.000076611,700.000076611,70.0
7,1.3,0.0740563427297,0.0740563237623,3.10968879982e-19,1.44285695555e-19,9.48364527411e-09,3.46807935591e-25,700.000080398,700.000080398,70.0
8,1.4,0.0776436486167,0.0776436284574,3.45334413764e-19,1.59635190515e-19,1.00795849609e-08,3.98507877936e-25,700.000084003,700.000084003,70.0
9,1.6,0.0842775898859,0.0842775674239,4.16769435881e-19,1.95833852231e-19,1.12309333494e-08,5.11263316986e-25,700.000090737,700.000090737,70.0
10,1.8,0.0902768488471,0.0902768241811,4.91494749438e-19,2.41248049349e-19,1.23329169754e-08,6.36098316428e-25,700.000096936,700.000096936,70.0
11,2.0,0.0957283493814,0.0957283226004,5.69196799095e-19,2.98354439213e-19,1.33904155942e-08,7.72593376203e-25,700.000102694,700.000102694,70.0
12,2.19999999999,0.100703835316,0.100703806501,6.49618149267e-19,3.69865179191e-19,1.44076139907e-08,9.20381383735e-25,700.000108078,700.000108078,70.0
13,2.40000000001,0.105263045535,0.105263014759,7.32543731025e-19,4.58760699326e-19,1.5388126381e-08,1.0791390343e-24,700.000113144,700.000113144,70.0
14,2.6,0.109456124149,0.109456091479,8.17791144548e-19,5.68283506392e-19,1.63350939306e-08,1.24857974127e-24,700.000117934,700.000117934,70.0
