,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp
0,0.599999999998,0.0422061093119,0.0421870480791,4.02006052397e-07,1.33134430467e-11,9.65632641525e-06,8.77568289045e-09,700.290420583,700.290420583,70.0
1,0.7,0.0476422387957,0.0476174849393,4.60453965776e-07,2.00257031002e-11,1.24487015122e-05,1.26816696007e-08,700.363920655,700.363920655,70.0
2,0.800000000001,0.0527365757071,0.052705584039,5.1699411118e-07,2.8413009376e-11,1.54978715889e-05,1.74818807438e-08,700.441483321,700.441483321,70.0
3,0.900000000002,0.0575203724875,0.0574826456805,5.71670848747e-07,3.85556386314e-11,1.87812746343e-05,2.32276592978e-08,700.522490379,700.522490379,70.0
4,0.999999999997,0.0620211841062,0.0619762669857,6.24526568515e-07,5.05148625074e-11,2.22790417896e-05,2.99628179122e-08,700.606449502,700.606449502,70.0
5,1.1,0.0662633991613,0.0662108738159,6.75601933612e-07,6.43360760073e-11,2.59736108802e-05,3.77244841307e-08,700.692963904,700.692963904,70.0
6,1.2,0.0702686819927,0.0702081635685,7.24936151787e-07,8.00514578964e-11,2.98494033532e-05,4.65438259288e-08,700.781710331,700.781710331,70.0
7,1.3,0.0740563427297,0.0739874757991,7.72567233121e-07,9.76824961593e-11,3.38925535377e-05,5.64466794678e-08,700.872422856,700.872422856,70.0
8,1.4,0.0776436486167,0.0775661040294,8.18532217101e-07,1.17241655294e-10,3.80906808961e-05,6.7454096304e-08,700.96488077,700.96488077,70.0
9,1.6,0.0842775898859,0.0841817942825,9.0560831506e-07,1.62158846334e-10,4.69086453392e-05,9.28457287163e-08,701.154323146,701.154323146,70.0
10,1.8,0.0902768488471,0.0901617386468,9.86447818081e-07,2.14778376965e-10,5.62273332121e-05,1.22808362875e-07,701.348876928,701.348876928,70.0
11,2.0,0.0957283493814,0.0955929924216,1.06132762921e-06,2.75011076868e-10,6.59848573699e-05,1.57380708783e-07,701.547697729,701.547697729,70.0
12,2.19999999999,0.100703835316,0.100547407539,1.130520424e-06,3.42727292216e-10,7.61303214264e-05,1.96559835864e-07,701.750157332,701.750157332,70.0
13,2.40000000001,0.105263045535,0.105084812564,1.19429584809e-06,4.17773910944e-10,8.66215130553e-05,2.40308798372e-07,701.955779365,701.955779365,70.0
14,2.6,0.109456124149,0.109255426574,1.25292099338e-06,4.99986533768e-10,9.74231560583e-05,2.88562993155e-07,702.164196662,702.164196662,70.0
