,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,[Pt],-2673.0387256,-2673.0387256,21365.5494552,-21365.5494552,2647.77631171,-2647.77631171,8.32591885603e-11,1.21617053392,1.21617053401,1.68906158901e-12,1.33176009902e-12,0.0
1,[Pt],-1100.96652614,-0.000551684021585,1101.94090458,-0.0816849877423,1100.96520929,-0.000442034594135,-91.6733273153,1101.28820108,0.0273365036557,1.36424205266e-12,2.11132698626e-13,113.2
2,O=[Pt],-98.4214402822,-98.4214402823,386.144643915,-386.144643915,98.0325902897,-98.0325902899,8.32591885603e-11,2.00605697604,2.00605697613,1.4941698672e-12,-1.13686837722e-13,40.8
3,C[Pt],-39600.1366178,-39600.1366178,1284154.61422,-1284154.61422,37918.1554876,-37918.1554876,8.32591885603e-11,0.448696410323,0.448696410406,6.13096874856e-11,5.88248180325e-11,593.1
4,O[Pt],-3203.45363904,-3203.45363904,28253.8085372,-28253.8085373,3169.5987737,-3169.59877371,8.32591885603e-11,1.13257745806,1.13257745815,-9.41976655408e-13,1.62409768174e-12,23.1
5,O.[Pt],-1777.26482165,-30.26141427,3580.82226973,-155.408352088,1774.82736339,-30.0922816272,-93.0611060961,1363.22067151,1.53132997625,2.07884503262e-12,7.79566887234e-13,110.5
6,O=C=O.[Pt],-3149.06710916,-170.539183486,8672.19391134,-630.431874264,3141.60275527,-169.917651169,-91.6733273153,1126.2715505,2.10761823588,1.73778451946e-12,1.70530256582e-12,80.7
7,O=C=[Pt],-282.501994963,-282.501994964,1025.91494367,-1025.91494367,281.497292819,-281.49729282,8.32591885603e-11,2.11725591974,2.11725591982,1.15310935403e-12,1.867712334e-12,87.2
8,C~[Pt],-32.8762128943,-32.8762128944,168.068698042,-168.068698043,32.6935039707,-32.6935039708,8.32591885603e-11,1.6604918794,1.66049187949,1.68906158901e-12,1.34800107584e-12,93.4
9,C=[Pt],1.83893096267e-06,1.83884769501e-06,-0.00141284490365,0.00141284482036,6.80047732891e-08,-6.80880307815e-08,8.32591885603e-11,6.23513751727e-06,6.23522077699e-06,-3.89783443617e-13,-2.43614652261e-13,39.1
10,C#[Pt],-4644.77466724,-229.23488014,13274.189339,-828.020808742,4633.11225077,-228.425637434,-93.0611060961,1370.41215175,2.03033916028,1.70530256582e-12,1.67282061219e-12,101.8
11,C.[Pt],-22120.983165,-22120.9831651,549973.514606,-549973.514607,21407.6049937,-21407.6049937,8.32591885603e-11,0.538111923371,0.538111923455,2.47350076929e-11,2.40691276433e-11,64.0
12,[H][H].[Pt],-5.49661190391,-5.496611904,50.6766757495,-50.6766757496,5.43555229084,-5.43555229093,8.32591885603e-11,1.08209443931,1.08209443939,-2.43614652261e-13,2.27373675443e-13,71.7
13,[C-]#[O+].[Pt],-863.443894572,-863.443894573,4005.21817355,-4005.21817355,859.197873086,-859.197873087,8.32591885603e-11,1.78532914548,1.78532914557,4.87229304521e-12,4.54747350886e-12,0.1
14,O=C[Pt],-119.776089686,-119.776089686,455.124494112,-455.124494113,119.322875545,-119.322875546,8.32591885603e-11,2.05051828572,2.05051828581,1.67282061219e-12,1.15310935403e-12,275.2
