,C/O ratio,CH4 Conv,O2 Conv,CO Selec,H2 Selec,H2O Selec
0,0.6,0.563799848982,0.390595721651,0.333311944845,0.666628235785,2.79847301034e-05
1,0.7,0.555717105995,0.431395926508,0.333313334966,0.666630505248,2.56810142496e-05
2,0.8,0.542280882838,0.463551023673,0.333313349432,0.666632664164,2.40400859597e-05
3,0.9,0.525669478469,0.488445668679,0.333313411345,0.666633739085,2.2864402831e-05
4,1.0,0.506913881757,0.506932638595,0.3333131317,0.666634377194,2.20520063065e-05
5,1.1,0.486800331674,0.519845036634,0.333312804274,0.666634464404,2.15404010524e-05
6,1.2,0.466518924139,0.528630525203,0.333312006718,0.666634485547,2.13047025851e-05
7,1.3,0.445785487225,0.533227798859,0.333311258952,0.666634043561,2.13182342629e-05
8,1.4,0.425462074409,0.534895971229,0.333310719544,0.666632978536,2.15739894371e-05
9,1.6,0.386466299233,0.531151980066,0.33330893964,0.666630659608,2.26885058113e-05
10,1.8,0.350580740123,0.521016422684,0.333306646377,0.666628060288,2.44217021129e-05
11,2.0,0.318290968714,0.507235338725,0.333305127459,0.666624398742,2.64942673957e-05
12,2.2,0.289690351998,0.491781316751,0.333302868691,0.666621724997,2.86060062998e-05
13,2.4,0.264994376779,0.476655134635,0.333301873553,0.666618316858,3.05353069185e-05
14,2.6,0.243666665554,0.462354550216,0.333300621057,0.666615938527,3.2147905969e-05
