,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-3.5568681557e-07,-1.72283188029e-07,-1.72420922954e-07,3.5582453662e-07,3.5568681557e-07,-1.72283174954e-07,-1.83403627488e-07,2.84314647596e-07,1.00911019543e-07,-9.28983461433e-12,-9.32231655354e-12,0.0142877553936
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],-2.50270498064e-07,-1.53187733798e-07,-2.39261573465e-07,3.36344319243e-07,2.50270498064e-07,-1.53187720723e-07,-9.70827711883e-08,1.92337328025e-07,9.52545598642e-08,-9.40352140157e-12,-9.43600334078e-12,0.0142877553936
2,[H][H] + 2 [Pt] <=> 2 [Pt],-9.12212806945e-05,-0.00091827294415,-0.00250620725742,0.00167917707603,9.12212806945e-05,-0.000918272944137,0.000827050909004,-0.000102901670873,0.000724148387088,2.97242225719e-10,2.9720974378e-10,0.0142877553936
3,[H] + [Pt] <=> [Pt],1.27340398861e-07,-1.64020671904e-07,-6.28499371196e-07,3.37138290181e-07,-1.27340398861e-07,-1.6402065883e-07,2.91361068285e-07,-1.89983132883e-07,1.0137794069e-07,-2.15355256969e-11,-2.15680076361e-11,0.0142877553936
4,C + 2 [Pt] <=> C[Pt] + [Pt],-0.00509547636218,-0.037415758369,-0.096188424742,0.0639008763096,0.00509547636218,-0.037415758369,0.0323186352184,-0.00576034203159,0.0265564315229,9.04917592672e-09,9.04914344478e-09,0.0142877553936
5,CC + 2 [Pt] <=> 2 C[Pt],-0.168793462565,-0.589048241064,-1.77127433936,1.35915904958,0.168793462565,-0.589048241064,0.419546611247,-0.19083004903,0.227915941213,-1.01132842553e-08,-1.01133167372e-08,0.0142877553936
6,[CH3] + [Pt] <=> C[Pt],0.00337638800062,0.0124976908279,0.0375651478491,-0.0284401104943,-0.00337638800062,0.0124976908279,-0.00912161080829,0.00381703169181,-0.00530492729125,1.33900298009e-09,1.33897049815e-09,0.0142877553936
7,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-1.46808869286e-07,-1.79207390781e-07,-4.25186638444e-07,3.92788126912e-07,1.46808869286e-07,-1.79207377707e-07,3.23985132613e-08,7.36405505749e-08,1.06039066624e-07,-2.34519601103e-11,-2.34194781711e-11,0.0
8,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-1.2473006737e-07,-2.32659333998e-07,-6.26325868512e-07,5.18396603431e-07,1.2473006737e-07,-2.32659307849e-07,1.07929259055e-07,3.85756942666e-09,1.1178683224e-07,-3.06629506151e-11,-3.05492638279e-11,0.0
9,2 C=[Pt] <=> C[Pt] + C#[Pt],-4.88026017123e-07,-1.64351014085e-07,-1.02752176271e-07,4.26427179559e-07,4.88026017123e-07,-1.64351001011e-07,-3.23675008568e-07,4.18093421951e-07,9.44184091578e-08,-1.28953298667e-11,-1.28303659883e-11,-0.0142877553936
10,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-2.74223416851e-07,-1.23190124667e-07,-1.17906704244e-07,2.68939994441e-07,2.74223416851e-07,-1.23190111592e-07,-1.51033295969e-07,2.22500493946e-07,7.14671978856e-08,4.59619439835e-12,4.64491730717e-12,0.0
11,C~[Pt] + [H][H] <=> C=[Pt],-5.11984103724e-07,-1.45148675214e-07,3.46131068696e-08,3.32222323321e-07,5.11984103724e-07,-1.45148675214e-07,-3.66835436718e-07,4.47025222218e-07,8.01897898482e-08,-1.01343650338e-11,-1.0166846973e-11,0.0142877553936
12,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],-8.31923753604e-07,-2.1691587362e-07,1.37873328487e-07,4.77134550578e-07,8.31923753604e-07,-2.16915847471e-07,-6.15007881235e-07,7.49389195973e-07,1.34381304403e-07,-2.80968774175e-11,-2.81293593567e-11,0.0142877553936
13,C=[Pt] + C~[Pt] <=> 2 C#[Pt],-2.03101084332e-07,-1.16808425204e-07,-1.68112313278e-07,2.54404956514e-07,2.03101084332e-07,-1.1680841213e-07,-8.62926606819e-08,1.58735468704e-07,7.24428129779e-08,1.47305594322e-11,1.50878607635e-11,0.0
14,[H][H] + [Pt] <=> [H][H].[Pt],-6.24942896899e-07,-1.82576721519e-07,1.13368329562e-07,3.28997850154e-07,6.24942896899e-07,-1.8257669537e-07,-4.42366182511e-07,5.56783927797e-07,1.14417749906e-07,-2.11295014567e-11,-2.11619833959e-11,0.0142877553936
15,CC + [Pt] <=> CC.[Pt],1.02873858024e-07,-2.20857530751e-07,-7.92852443656e-07,4.69121054543e-07,-1.02873858024e-07,-2.20857530751e-07,3.23731385928e-07,-1.96448077537e-07,1.27283313634e-07,-2.0707236247e-11,-2.07397181862e-11,0.0142877553936
16,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.00030381897448,0.000186843756023,5.30775087165e-06,-0.000122283330921,-0.00030381897448,0.000186843756036,0.000116975573847,0.000343267043331,0.000460243018724,5.00254345788e-10,5.00221863849e-10,0.0142877553936
17,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],0.129162816612,0.0833348376558,0.398639841404,-0.444710014476,-0.129162816612,0.0833348376558,0.0458872482189,0.146025859077,0.191980114545,2.20842901948e-07,2.20842869466e-07,0.0142877553936
18,O + [Pt] <=> O.[Pt],-8.9058602821e-07,-1.46096856379e-07,3.95316381982e-07,3.49172784427e-07,8.9058602821e-07,-1.46096843304e-07,-7.44489165685e-07,8.44103183278e-07,9.96140081456e-08,-2.48486834964e-11,-2.48811654356e-11,0.0142877553936
19,O=C=O + [Pt] <=> O=C=O.[Pt],-8.99374825598e-08,-1.43916213591e-07,-4.20852149994e-07,3.66873416005e-07,8.99374825598e-08,-1.43916200516e-07,5.39787203983e-08,3.89973614578e-08,9.2976079861e-08,-1.26841972619e-11,-1.27166792011e-11,0.0142877553936
20,[C-]#[O+] + [Pt] <=> O=C=[Pt],-6.12439739006e-07,-1.9165378359e-07,-7.79123673079e-05,7.83331529302e-05,6.12439739006e-07,-1.91653757441e-07,-4.20785961499e-07,5.31949453422e-07,1.11163492213e-07,-4.17392918861e-11,-4.17717738253e-11,0.0142877553936
21,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],-1.42538952123e-06,-3.67987252309e-07,1.00000025674,-0.999999188766,1.42538950031e-06,-3.6798722616e-07,-1.05740225936e-06,2.0686940364e-06,1.01129175249e-06,-5.61937548349e-11,-5.60475861085e-11,0.0
22,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-4.02360767827e-07,-1.86586824044e-07,-1.97936648179e-07,4.13710579316e-07,4.02360767827e-07,-1.86586810969e-07,-2.15773945131e-07,3.3105475207e-07,1.15280803123e-07,-1.09626544837e-11,-1.09951364229e-11,0.0142877553936
23,O=C=O.[Pt] + [Pt] <=> O[Pt] + O=C=[Pt],2.22071603526e-07,-1.34030109968e-07,-0.990093658978,0.990093306402,-2.22071561681e-07,-1.34030136118e-07,3.56101703572e-07,-2.79040513892e-07,7.70611905277e-08,-3.30341321775e-11,-3.27580356942e-11,0.0
24,[Pt] + O=[Pt] <=> O[Pt] + [Pt],0.538613030846,0.364514401431,0.0419408375937,-0.217055676774,-0.538613030846,0.364514401431,0.175041425341,0.608937328452,0.785044646372,9.14138630539e-07,9.14138598057e-07,0.0142877553936
25,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.064347819604,-0.0414989408926,0.300140492225,-0.277237772177,0.064347819604,-0.0414989408926,-0.0228341854109,-0.0727489086782,-0.0955664824685,-1.10017529939e-07,-1.10017562421e-07,0.0142877553936
26,O[Pt] + [Pt] <=> O.[Pt] + [Pt],1.77624547967e-05,1.30147805388e-05,6.27946526684e-05,-6.75423307507e-05,-1.77624547967e-05,1.30147805519e-05,4.74767509784e-06,2.13291708615e-05,2.60768469708e-05,1.23756188394e-11,1.26517153227e-11,0.0
