0,O.[Ni] + O=[Ni] <=> 2 O[Ni],-157.362476788
1,C=O + 2 [Ni] <=> O=C[Ni] + [Ni],-130.29319271
2,O=C[Ni] + C#[Ni] <=> C=[Ni] + O=C=[Ni],-130.216757078
3,[O][O] + 2 [Ni] <=> 2 O=[Ni],-73.0705430729
4,[H] + [Ni] <=> [Ni],-72.7274075673
5,C=[Ni] + O=C[Ni] <=> C[Ni] + O=C=[Ni],-72.7272729001
6,O[Ni] + [Ni] <=> O.[Ni] + [Ni],-72.6137115541
7,C#[Ni] + O[Ni] <=> C=[Ni] + O=[Ni],-72.6137109549
8,C=[Ni] + O[Ni] <=> C[Ni] + O=[Ni],-71.9367871553
9,[H][H] + 2 [Ni] <=> 2 [Ni],-71.9365460915
10,CC + 2 [Ni] <=> 2 C[Ni],-71.9340513917
11,C#[Ni] + [Ni] <=> C=[Ni] + [Ni],-71.9340391677
12,C + O=[Ni] + [Ni] <=> C[Ni] + O[Ni],-71.9340390149
13,[Ni] + O=[Ni] <=> O[Ni] + [Ni],-71.9340340173
14,C~[Ni] + [H][H] <=> C=[Ni],-71.9340338224
15,C[Ni] + C~[Ni] <=> C=[Ni] + C#[Ni],-71.9340328567
16,C + 2 [Ni] <=> C[Ni] + [Ni],-71.9340326737
17,2 C=[Ni] <=> C[Ni] + C#[Ni],-71.9340325162
18,O=C=[Ni] + O=[Ni] <=> O=C=O.[Ni] + [Ni],-71.9340324257
19,C=[Ni] + [Ni] <=> C[Ni] + [Ni],-71.2711378866
20,O=C[Ni] + C~[Ni] <=> C#[Ni] + O=C=[Ni],-70.4218124675
21,O + [Ni] <=> O.[Ni],-69.737992594
22,C + O[Ni] + [Ni] <=> C[Ni] + O.[Ni],-69.7368758309
23,CC=O + 2 [Ni] <=> C[Ni] + O=C[Ni],-69.7368163882
24,C~[Ni] + O[Ni] <=> C#[Ni] + O=[Ni],-69.7368153555
25,CO + 2 [Ni] <=> C[Ni] + O[Ni],-69.7368153248
26,O[Ni] + O=C=[Ni] <=> O=C[Ni] + O=[Ni],-69.7368151801
27,C~[Ni] + O=[Ni] <=> O=C=[Ni] + [Ni],-68.2714023489
28,O=C=O.[Ni] + [Ni] <=> O[Ni] + O=C=[Ni],-68.2714021873
29,O + 2 [Ni] <=> O[Ni] + [Ni],-68.2714018307
30,[CH]=O + [Ni] <=> O=C[Ni],-68.2714012433
31,[OH] + [Ni] <=> O[Ni],-68.2714010268
32,C#[Ni] + [Ni] <=> C~[Ni] + [Ni],-65.4668777334
33,O=C=O + [Ni] <=> O=C=O.[Ni],-63.191624197
34,O=C[Ni] + [Ni] <=> [Ni] + O=C=[Ni],-62.6623544144
35,[C-]#[O+] + [Ni] <=> O=C=[Ni],-59.0603589834
36,C=[Ni] + C~[Ni] <=> 2 C#[Ni],-58.2292356006
37,[CH3] + [Ni] <=> C[Ni],-37.584896328
