,Species,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,[Pt],-0.000432791557104,-0.00117102202968,-0.00160381865487,-0.00122657940275,-0.000978439237401
1,[Pt],0.000171508855129,0.000877456584139,0.00104896393435,0.000710312154403,0.000891649511263
2,O=[Pt],0.000212259907659,-0.000409605012544,-0.000197344235457,-0.000244884515492,-0.000569833833275
3,C[Pt],1.06919289715e-08,5.05804656489e-08,6.12723964245e-08,4.36850833909e-08,4.93168845837e-08
4,O[Pt],2.4696819054e-09,8.31304162571e-08,8.56000865046e-08,8.75252314014e-08,7.97852247864e-08
5,O.[Pt],-0.000126596938816,0.00023228687662,0.000105690231875,0.000426960337959,0.000187695832388
6,O=C=O.[Pt],-3.28387098147e-10,-9.3143396346e-10,-1.25982429158e-09,-1.22252215049e-09,-8.33340522981e-10
7,O=C=[Pt],4.0498031967e-06,-0.000405699132897,-0.000401649313263,-0.00037532139638,-0.000421787703896
8,C~[Pt],3.34589222107e-08,8.23921369352e-08,1.15851058095e-07,4.76650886828e-08,8.60099671435e-08
9,C=[Pt],0.000171505952584,0.000877650265739,0.0010491547131,0.000710483948067,0.000891854792074
10,C#[Pt],1.04863066809e-09,-9.35760881584e-08,-9.2527452057e-08,-8.68457467136e-08,-9.7283953555e-08
11,C.[Pt],2.03850596546e-08,-1.16550989463e-06,-1.14512483129e-06,-1.04510227781e-06,-1.23111421154e-06
12,[H][H].[Pt],-2.5150376551e-10,-1.43498476405e-09,-1.68649318397e-09,-1.51760885632e-09,-1.43791600341e-09
13,[C-]#[O+].[Pt],-4.13443068506e-10,-1.08952734091e-09,-1.50296609058e-09,-1.66395724163e-09,-9.57611275324e-10
14,O=C[Pt],-5.6034344361e-10,-1.55163422542e-09,-2.11198097165e-09,-2.40881368659e-09,-1.31975692741e-09
