,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-2.77022262061e-10,-1.37761085347e-10,5.14244729862e-10,-3.74978577696e-10,7.67681985151e-11,6.25032097009e-11,-1.39269183689e-10,-1.93189347306e-10,-3.3246344042e-10,6.38382204957e-12,5.46725314069e-12,56.2839059675
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.195318496203,0.402428594787,-0.133462534533,0.340700993773,-0.247534914798,0.454536656264,-0.207515414571,0.775330418122,0.56620607342,0.00582103471749,0.00582103471741,48.1012658228
2,[H][H] + 2 [Pt] <=> 2 [Pt],-0.068552061239,-0.0974231254209,0.00725913363384,-0.0361125140179,0.120293188179,-0.149179180341,0.0288512860306,-0.272122201988,-0.243349426712,-0.00284082717092,-0.0028408271694,29.8598553345
3,[H] + [Pt] <=> [Pt],-3.7027108832e-11,-7.08212805268e-11,8.65981323552e-11,-1.20388399021e-10,-4.81883850445e-12,-2.89786296651e-11,3.37921547137e-11,-3.41895212886e-10,-3.081091926e-10,7.81495595992e-12,7.26823064585e-12,39.6473779385
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-5.12750124391e-08,-6.48591147265e-08,6.45310942454e-10,-1.42294061487e-08,9.40146549138e-08,-1.07598734316e-07,1.35840961467e-08,-2.03654179487e-07,-1.9007008666e-07,-2.24339084534e-09,-2.24396973097e-09,13.6075949367
5,O + 2 [Pt] <=> O[Pt] + [Pt],9.97565104826e-06,-1.5820519524e-05,6.72895506782e-06,-3.25251299478e-05,-2.40770356501e-05,-1.71913128575e-06,2.57961731416e-05,3.95999323002e-05,6.53961156631e-05,7.79585691508e-07,7.79585273424e-07,0.519891500904
6,[OH] + [Pt] <=> O[Pt],-2.87988624249e-10,-3.01440411701e-10,5.47857679553e-10,-5.61288258544e-10,6.86300005089e-11,-8.20724436779e-11,1.34393512087e-11,-4.23758612591e-10,-4.10325586031e-10,4.50244376292e-13,4.34164219996e-13,32.9566003617
7,C + 2 [Pt] <=> C[Pt] + [Pt],-6.11032913967e-08,-2.83693788285e-07,5.85033844823e-08,-2.81093867644e-07,6.3298019784e-08,-2.85888497782e-07,2.22590498316e-07,-2.42818071293e-07,-2.02275696342e-08,-1.2381720348e-10,-1.24170966919e-10,12.8390596745
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.130117577521,-0.621904759318,0.112760112914,-0.604462043851,0.144770080097,-0.636629227383,0.491148111772,-0.516510848312,-0.0278995698189,-0.00021445151764,-0.000214451518348,57.2332730561
9,CC + 2 [Pt] <=> 2 C[Pt],9.70413251012e-09,5.05854886524e-09,-1.06711246967e-08,6.02554023605e-09,-8.88784779513e-09,4.242280886e-09,4.64557740689e-09,-4.24031720478e-09,4.052621391e-10,-2.13544475613e-11,-1.66751220791e-11,-54.7920433996
10,[CH3] + [Pt] <=> C[Pt],8.41657873618e-10,5.17707473429e-10,-7.84514707455e-10,4.60577088616e-10,-8.89895931902e-10,5.65963605366e-10,3.2394462188e-10,-6.40010403756e-10,-3.16061600051e-10,-7.62199408437e-12,-8.68328439992e-12,54.6564195298
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],-8.59518171985e-11,-7.9038114179e-11,1.56860431889e-10,-1.49929886313e-10,2.60806817994e-11,-1.91507179111e-11,-6.92595401827e-12,-2.34900370172e-10,-2.41818421112e-10,1.39897359776e-12,9.80889534065e-13,-13.0424954792
12,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.0483854330418,-0.238725818002,0.0366766920645,-0.22699480134,0.0582695008598,-0.248628690094,0.190248332481,-0.192069287514,-0.00218636365001,-4.64374093085e-05,-4.64374092603e-05,-28.6392405063
13,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],-1.85815347423e-08,-9.28212657141e-08,1.33482124373e-08,-8.75879283592e-08,2.2999303713e-08,-9.72390185261e-08,7.42397261804e-08,-7.38157792305e-08,4.23947190201e-10,-1.71896870806e-11,-1.41344573843e-11,-49.7061482821
14,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-9.36635465567e-08,-4.6204949077e-07,7.150171253e-08,-4.39887653285e-07,1.12371699795e-07,-4.80757645313e-07,3.68385943467e-07,-3.71176088864e-07,-2.79014564401e-09,-7.11225312978e-11,-7.17496573934e-11,36.5506329114
