This mechanism contains 38 gas reactions and 41 surface reactions
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
   14.000000    0.020355    0.012414    0.000000   0.000000   0.000448   0.000224
   15.000000    0.020184    0.012072    0.000000   0.000000   0.000790   0.000395
   16.000000    0.019213    0.010130    0.000000   0.000002   0.002732   0.001364
   17.000000    0.005476    0.000312    0.016241   0.008222   0.010302   0.003286
   18.000000    0.003375    0.000007    0.021108   0.010912   0.009593   0.002602
   19.000000    0.002710    0.000000    0.022733   0.011945   0.009306   0.002236
   20.000000    0.002349    0.000000    0.023619   0.012523   0.009152   0.002024
   21.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   22.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   23.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   24.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   25.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   26.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   27.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   28.000000    0.002346    0.000000    0.023620   0.012523   0.009152   0.002024
   29.000000    0.002346    0.000000    0.023621   0.012523   0.009152   0.002024
   30.000000    0.002346    0.000000    0.023621   0.012523   0.009152   0.002024
   31.000000    0.002346    0.000000    0.023621   0.012523   0.009152   0.002024
   32.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   33.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   34.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   35.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   36.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   37.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   38.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   39.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   40.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   41.000000    0.002345    0.000000    0.023621   0.012523   0.009152   0.002024
   42.000000    0.002345    0.000000    0.023622   0.012523   0.009152   0.002024
   43.000000    0.002345    0.000000    0.023622   0.012523   0.009152   0.002024
   44.000000    0.002345    0.000000    0.023622   0.012523   0.009152   0.002024
   45.000000    0.002345    0.000000    0.023622   0.012523   0.009152   0.002024
   46.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   47.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   48.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   49.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   50.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   51.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   52.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   53.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   54.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   55.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   56.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   57.000000    0.002344    0.000000    0.023622   0.012523   0.009152   0.002024
   58.000000    0.002344    0.000000    0.023623   0.012523   0.009152   0.002024
   59.000000    0.002344    0.000000    0.023623   0.012523   0.009152   0.002024
   60.000000    0.002344    0.000000    0.023623   0.012523   0.009152   0.002024
   61.000000    0.002344    0.000000    0.023623   0.012523   0.009152   0.002024
   62.000000    0.002344    0.000000    0.023623   0.012523   0.009152   0.002024
   63.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
   64.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
   65.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
   66.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
   67.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
   68.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
   69.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
   70.000000    0.002343    0.000000    0.023623   0.012523   0.009152   0.002024
Finished simulation at a C/O ratio of 0.8
  distance(mm)   X_CH4        X_O2        X_H2       X_CO       X_H2O       X_CO2
    0.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    1.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    2.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    3.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    4.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    5.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    6.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    7.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    8.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
    9.000000    0.018591    0.013279    0.000000   0.000000   0.000000   0.000000
   10.000000    0.018590    0.013279    0.000000   0.000000   0.000000   0.000000
   11.000000    0.018564    0.013226    0.000000   0.000000   0.000053   0.000026
   12.000000    0.018533    0.013163    0.000000   0.000000   0.000116   0.000058
   13.000000    0.018493    0.013083    0.000000   0.000000   0.000196   0.000098
   14.000000    0.018440    0.012978    0.000000   0.000000   0.000301   0.000151
   15.000000    0.018363    0.012824    0.000000   0.000000   0.000455   0.000227
   16.000000    0.018231    0.012559    0.000000   0.000000   0.000720   0.000360
   17.000000    0.017846    0.011790    0.000000   0.000000   0.001489   0.000744
   18.000000    0.005576    0.001283    0.011738   0.006051   0.010773   0.003582
   19.000000    0.001634    0.000034    0.019639   0.010421   0.010499   0.002785
   20.000000    0.000896    0.000001    0.021386   0.011615   0.010255   0.002343
   21.000000    0.000902    0.000001    0.021379   0.011615   0.010255   0.002343
   22.000000    0.000909    0.000001    0.021372   0.011615   0.010255   0.002343
   23.000000    0.000916    0.000001    0.021365   0.011615   0.010255   0.002343
   24.000000    0.000922    0.000001    0.021359   0.011615   0.010255   0.002343
   25.000000    0.000928    0.000001    0.021352   0.011615   0.010255   0.002343
   26.000000    0.000934    0.000001    0.021346   0.011615   0.010255   0.002343
   27.000000    0.000940    0.000001    0.021340   0.011615   0.010255   0.002343
   28.000000    0.000946    0.000001    0.021335   0.011615   0.010255   0.002343
   29.000000    0.000951    0.000001    0.021329   0.011615   0.010255   0.002343
   30.000000    0.000956    0.000001    0.021324   0.011615   0.010255   0.002343
   31.000000    0.000961    0.000001    0.021319   0.011615   0.010255   0.002343
   32.000000    0.000966    0.000001    0.021315   0.011615   0.010255   0.002343
   33.000000    0.000970    0.000001    0.021310   0.011615   0.010255   0.002343
   34.000000    0.000975    0.000001    0.021306   0.011615   0.010255   0.002343
   35.000000    0.000979    0.000001    0.021301   0.011615   0.010255   0.002343
   36.000000    0.000983    0.000001    0.021297   0.011615   0.010255   0.002343
   37.000000    0.000987    0.000001    0.021293   0.011615   0.010255   0.002343
   38.000000    0.000990    0.000001    0.021290   0.011615   0.010255   0.002343
   39.000000    0.000994    0.000001    0.021286   0.011615   0.010255   0.002343
   40.000000    0.000997    0.000001    0.021283   0.011615   0.010255   0.002343
   41.000000    0.001000    0.000001    0.021279   0.011615   0.010255   0.002343
   42.000000    0.001004    0.000001    0.021276   0.011615   0.010255   0.002343
   43.000000    0.001007    0.000001    0.021273   0.011615   0.010255   0.002343
   44.000000    0.001009    0.000001    0.021270   0.011615   0.010255   0.002343
   45.000000    0.001012    0.000001    0.021268   0.011615   0.010255   0.002343
   46.000000    0.001015    0.000001    0.021265   0.011615   0.010255   0.002343
   47.000000    0.001017    0.000001    0.021262   0.011615   0.010255   0.002343
   48.000000    0.001020    0.000001    0.021260   0.011615   0.010255   0.002343
   49.000000    0.001022    0.000001    0.021258   0.011615   0.010255   0.002343
   50.000000    0.001024    0.000001    0.021255   0.011615   0.010255   0.002343
   51.000000    0.001026    0.000001    0.021253   0.011615   0.010255   0.002343
   52.000000    0.001028    0.000001    0.021251   0.011615   0.010255   0.002343
