,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],0.0461756907931,2.89573064306e-05,-0.0461757078031,2.89743243209e-05,-0.0461407811993,-5.96840445714e-06,0.0461680519036,-0.0461334859122,1.3267059649e-05,-1.10438642358e-12,1.80274842672e-12,-51.0309278351
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.500224981447,1.21104127749,-0.500818811017,1.21163086481,0.718489909868,0.00103276169406,-0.714389852554,0.217967511467,-0.497979478871,-2.54983336032e-12,-2.25749577761e-12,-52.7881911903
2,[H][H] + 2 [Pt] <=> 2 [Pt],-0.121613763542,2.88636669912e-05,0.121613460165,2.91666748725e-05,0.122236382229,-0.000592998571032,-0.121494872721,0.121655852119,1.3173775422e-05,9.24111580906e-12,8.41282599138e-12,39.5735707591
3,[H] + [Pt] <=> [Pt],0.0461758890109,2.91556157872e-05,-0.0461759359412,2.92025677168e-05,-0.0460795741916,-6.7203670181e-05,0.0461680519036,-0.0461336102274,1.3142687043e-05,-1.2180732613e-12,8.77012748136e-13,-52.8116213683
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-0.0412961227988,2.91925059256e-05,0.0412961056616,2.92096360565e-05,0.0413312933852,-5.96355210251e-06,-0.0413082565964,0.0413384844285,1.31516249291e-05,-2.16004991671e-12,5.03470281337e-13,-52.2727272727
5,O + 2 [Pt] <=> O[Pt] + [Pt],-0.0631881457906,2.91085164919e-05,0.0631881286898,2.91256065059e-05,0.0632232417031,-5.96522335377e-06,-0.0631773337214,0.0632304743935,1.31933442811e-05,-2.16004991671e-12,1.00694056267e-12,-50.0937207123
6,[OH] + [Pt] <=> O[Pt],-0.0485924122971,2.91515900072e-05,0.0485923951784,2.91687004034e-05,0.0486275449802,-5.96401930424e-06,-0.0485979489714,0.0486347548148,1.31703500263e-05,-1.94891721808e-12,-6.49639072693e-14,-47.7507029053
7,C + 2 [Pt] <=> C[Pt] + [Pt],0.00488853213287,2.89745936024e-05,-0.00488854915897,2.89916205419e-05,-0.00485358951646,-5.96972094183e-06,0.00485979511192,-0.00484629428605,1.32653059005e-05,1.2180732613e-12,8.77012748136e-13,-53.045923149
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.121693670994,-5.09467022748e-05,0.121693692899,-5.09685799748e-05,0.121648716794,-6.0471186316e-06,-0.121494872721,0.121710071145,6.73269275309e-05,8.75388650454e-12,8.36410306093e-12,12.6288659794
9,CC + 2 [Pt] <=> 2 C[Pt],-0.0520980084454,-0.00104357752395,0.0520985129452,-0.00104408176628,0.0510626248852,-8.72229769928e-06,-0.0510278464297,0.0532940895216,0.00223904826574,-3.36188220119e-12,8.60771771319e-13,-52.9756326148
10,[CH3] + [Pt] <=> C[Pt],0.672108552491,-0.481575952538,-0.671877372336,-0.48180981783,-1.14655898656,-0.00161481944671,1.16149098528,-0.160805717553,0.998817523812,3.2806773171e-12,3.1832314562e-12,49.1799437676
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],-0.121613563998,2.90629686006e-05,0.121613546911,2.90800348461e-05,0.12164863155,-5.96197898161e-06,-0.121494872721,0.121655874335,1.31959635616e-05,7.82815082596e-12,7.47084933597e-12,63.0037488285
12,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-1.0660820826,-0.967849996402,1.06655408264,-0.968321537678,0.0973976200266,-0.000107055397042,-0.097195898138,0.100279201473,0.00298583606417,2.48486945305e-12,1.78650744991e-12,-11.4104967198
13,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],-0.0489309142755,-0.0343443958946,0.048947646656,-0.0343611258356,0.0145910928974,-9.58105110395e-06,-0.0145793845547,0.0147097685634,0.000128239414945,-5.13214867428e-12,-1.29927814539e-13,-52.9990627929
14,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-0.097261638985,2.87934765474e-05,0.097261669342,2.87631491324e-05,0.09719933751,9.10343971465e-05,-0.097195898138,0.0973036938537,1.32205165487e-05,8.72140455091e-12,8.49403087547e-12,54.5220243674
15,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],-0.0242948923857,9.98541206724e-06,0.0242948855655,9.99223055321e-06,0.0243088892978,-4.0080989717e-06,-0.0242989743881,0.0243259116055,2.10262703866e-05,6.33398095876e-13,5.03470281337e-13,-10.2155576382
16,2 C=[Pt] <=> C[Pt] + C#[Pt],-0.0972612074938,2.92245483374e-05,0.0972611903316,2.92416939804e-05,0.0972964296155,-5.96333890669e-06,-0.097195898138,0.0973036090528,1.31357980207e-05,9.15991092498e-12,8.60771771319e-12,38.6832239925
17,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-0.104565628647,2.92178808215e-05,0.104565611486,2.92350234378e-05,0.104600847173,-5.96384726248e-06,-0.104485590513,0.104608033119,1.31422847284e-05,1.86771233399e-12,1.13686837721e-12,17.9240862231
18,C~[Pt] + [H][H] <=> C=[Pt],-0.0534573968223,2.89241839993e-05,0.0534573310951,2.89898761463e-05,0.0535922887575,-0.000105895640985,-0.0534577438881,0.0534996201519,1.32765739087e-05,1.5916157281e-12,8.77012748136e-13,-49.1799437676
19,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],-0.121633003142,9.64744185615e-06,0.121632995515,9.65505956713e-06,0.121648655928,-5.98632674532e-06,-0.121494872721,0.121663871531,2.11834437139e-05,1.60785670492e-12,1.13686837721e-12,-52.8819119025
