,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],1.31202309011e-08,8.30337472157e-10,-1.31322583833e-08,8.42367823032e-10,-1.31081923439e-08,8.18307148499e-10,1.22899032747e-08,6.37758731662e-08,7.60657739406e-08,-1.0718992979e-12,-5.52190547403e-13,-1.137487636
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],1.14366444981e-06,-0.909497318512,-2.2494038179e-06,-0.909496202716,-3.7927583396e-08,-0.909498434306,0.909498472578,0.978554617751,1.89695302963,4.38853460286e-06,4.38853442421e-06,218.496538081
2,[H][H] + 2 [Pt] <=> 2 [Pt],2.43383034351e-08,-8.5077906124e-08,-2.43359994935e-08,-8.50802316697e-08,-2.43406073715e-08,-8.50756026557e-08,1.09416211847e-07,3.01749714808e-08,1.39591186305e-07,-3.52427496431e-11,-3.53239541353e-11,31.256181998
3,[H] + [Pt] <=> [Pt],1.89455000007e-08,1.18263329058e-10,-1.89359956971e-08,1.08750295149e-10,-1.89550042828e-08,1.27754269178e-10,1.88272446001e-08,1.12483980111e-08,3.00756432946e-08,-1.38047636851e-12,-6.9835863348e-13,-0.0494559841741
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-1.04791849667e-08,1.5125036625e-09,1.0461288883e-08,1.5304060208e-09,1.04970810098e-08,1.4946013447e-09,-1.19916849046e-08,-9.61483384857e-08,-1.08140034983e-07,-5.3594964895e-12,-5.47318277867e-12,182.096933729
5,O + 2 [Pt] <=> O[Pt] + [Pt],1.23811545956e-08,1.02516957473e-09,-1.23737744993e-08,1.01777650896e-09,-1.23885346752e-08,1.03256262378e-09,1.13559816052e-08,8.33585127743e-08,9.47144967453e-08,-1.64682710314e-11,-1.61434530623e-11,0.0989119683482
6,[OH] + [Pt] <=> O[Pt],1.80644704183e-08,2.03894984789e-09,-1.80678770411e-08,2.04235129088e-09,-1.80610638032e-08,2.0355484126e-09,1.6025523736e-08,1.73203850781e-08,3.33459112616e-08,4.72610144983e-12,5.00219672353e-12,75.1236399604
7,C + 2 [Pt] <=> C[Pt] + [Pt],1.98955300223e-08,1.23410101462e-07,-1.98964074022e-08,1.23410991525e-07,-1.98946415421e-08,1.23409211401e-07,-1.03514573821e-07,-1.76905424747e-07,-2.80419997562e-07,-1.47467357953e-11,-1.46168086077e-11,56.7754698318
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-1.2771629802e-06,0.698264001495,2.57824012152e-06,0.698262709503,-2.39112175134e-08,0.698265293485,-0.69826526974,-1.15276679887,-1.84298269841,-3.36934017117e-06,-3.36933997628e-06,135.90504451
9,CC + 2 [Pt] <=> 2 C[Pt],-1.5078844173e-09,1.14473516889e-09,1.49303130533e-09,1.15959113172e-09,1.52273749566e-09,1.12987923967e-09,-2.65262271513e-09,5.38108684747e-08,5.11582399466e-08,-1.01018388378e-11,-9.69581637646e-12,-1.137487636
10,[CH3] + [Pt] <=> C[Pt],3.13434522897e-08,2.24322889053e-09,-3.13604408901e-08,2.26022711053e-09,-3.132647483e-08,2.22625278124e-09,2.91002284591e-08,2.08317291819e-08,4.99319567484e-08,-1.22781192305e-11,-1.0215525127e-11,1.97823936696
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],5.9199823332e-09,1.10134104703e-09,-5.9202665864e-09,1.10162923298e-09,-5.91968697842e-09,1.10105286173e-09,4.81864027979e-09,5.06876403479e-08,5.55062716624e-08,-2.90224855356e-11,-2.43126249842e-11,-1.137487636
12,C=[Pt] + [Pt] <=> C[Pt] + [Pt],1.91668898251e-08,4.0752730933e-09,-1.91666672574e-08,4.07505698018e-09,-1.91671012899e-08,4.07548920592e-09,1.50916241388e-08,5.40193052787e-08,6.91109205322e-08,4.23887449624e-12,6.82117735027e-12,11.0286844708
13,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],2.58404035839e-08,-2.32591168833e-09,-2.58517904224e-08,-2.314525005e-09,-2.58290278734e-08,-2.33727627364e-09,2.81663067895e-08,-4.37336530005e-08,-1.55673479658e-08,3.7678884411e-12,3.65420215193e-12,123.788328388
14,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],1.11196067423e-08,-6.77374296214e-09,-1.1127746172e-08,-6.76558386825e-09,-1.11114673311e-08,-6.78185789303e-09,1.78933450028e-08,5.10891080822e-08,6.89824487025e-08,-8.20165371878e-12,-7.16223621778e-12,0.692383778437
15,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],1.211362385e-08,7.57653421655e-10,-1.21035567053e-08,7.47567230853e-10,-1.2123690972e-08,7.67717517373e-10,1.13559816052e-08,6.53901846549e-09,1.78950065537e-08,-9.679575478e-12,-9.98815254861e-12,112.809099901
16,2 C=[Pt] <=> C[Pt] + C#[Pt],-3.17130015447e-09,4.15223916803e-10,3.02728528495e-09,5.59246240755e-10,3.31531469817e-09,2.71223990957e-10,-3.58652231239e-09,3.00757763273e-08,2.64892540647e-08,-4.27135629315e-12,-4.41752437922e-12,236.300692384
