,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-3.43030420184e-08,1.98358546106e-10,3.43347204952e-08,1.66693584328e-10,3.42713413647e-08,2.30061955512e-10,-3.45014058834e-08,3.66631478631e-07,3.32130068022e-07,6.01077383974e-11,3.36025157374e-11,0.600300150075
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],4.17713223774e-07,-0.959209027842,-8.48039454274e-07,-0.959208593388,1.26126220742e-08,-0.959209462296,0.959209449562,0.991184131968,1.95990111339,1.86402491715e-06,1.86399794094e-06,0.0
2,[H][H] + 2 [Pt] <=> 2 [Pt],1.1188788104e-08,-3.87177567835e-08,-1.11894701969e-08,-3.87170810355e-08,-1.11881282161e-08,-3.87184325309e-08,4.99065537057e-08,1.48809627554e-07,1.98716170472e-07,2.78694620616e-11,2.50110556963e-12,17.5087543772
3,[H] + [Pt] <=> [Pt],-5.43302750601e-08,-6.45227973657e-10,5.43852880354e-08,-7.00228479626e-10,5.42752621327e-08,-5.90208277875e-10,-5.36850409326e-08,3.15735160972e-07,2.62050117072e-07,4.859290821e-11,2.93798699705e-11,1.10055027514
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-8.95508501945e-09,-1.31075157976e-09,8.98615297346e-09,-1.34182083172e-09,8.92400599017e-09,-1.27968235477e-09,-7.64433220451e-09,-9.31961483398e-08,-1.0084047289e-07,9.80141046281e-11,7.49519623626e-11,0.100050025013
5,O + 2 [Pt] <=> O[Pt] + [Pt],-3.43387912154e-08,1.62615147923e-10,3.44013228323e-08,1.00093100895e-10,3.42762374483e-08,2.25175615793e-10,-3.45014058834e-08,2.92149827909e-08,-5.28642720346e-09,3.32776968323e-11,6.33396865036e-12,143.621810905
6,[OH] + [Pt] <=> O[Pt],-3.09232774111e-08,-2.58591366187e-10,3.09576522653e-08,-2.9296902432e-10,3.08889025868e-08,-2.24213737895e-10,-3.06646865686e-08,8.05388120822e-08,4.98741235973e-08,2.35168887326e-11,2.17466256996e-11,0.0
7,C + 2 [Pt] <=> C[Pt] + [Pt],-4.76084046269e-08,3.24524892764e-07,4.76739951192e-08,3.24459318063e-07,4.75428141915e-08,3.24590486646e-07,-3.72133301952e-07,-2.27899194433e-07,-6.0003249847e-07,9.87124652741e-11,7.17200142564e-11,124.512256128
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-5.30720909551e-07,0.773519125713,1.03020357433e-06,0.773518630094,3.1238667249e-08,0.773519621331,-0.773519652328,-1.15189758625,-1.91650708437,-1.5031055252e-06,-1.50313248517e-06,127.713856928
9,CC + 2 [Pt] <=> 2 C[Pt],2.41669456402e-08,1.11747175116e-09,-2.41317620289e-08,1.08228671214e-09,-2.42021514254e-08,1.15267599719e-09,2.30494800268e-08,9.29835975701e-08,1.16033071832e-07,2.30296603749e-11,-8.44529153382e-13,0.0
