,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-8.69199328372e-08,1.59499957535e-09,8.76245696223e-08,8.90365631529e-10,8.5301304243e-08,3.2135992124e-09,-8.85149300776e-08,1.41263687557e-08,-7.43885597514e-08,-2.50320897662e-11,-2.48535210325e-11,-0.115041702617
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],2.06512477347e-07,2.72685703492e-07,1.13106869414e-07,-4.69336573037e-08,-9.4069705993e-07,1.00687026803e-06,-6.6173220455e-08,7.25949038453e-08,6.42168802007e-09,2.15581162189e-11,2.18178525589e-11,0.647109577222
2,[H][H] + 2 [Pt] <=> 2 [Pt],-3.71138279706e-06,-3.80368676044e-06,-9.00586622714e-08,-2.24529158201e-09,1.24435193461e-05,-1.25358233314e-05,9.23039713407e-08,4.83705735554e-08,1.40674546389e-07,7.17359304001e-11,7.11839906776e-11,0.661489790049
3,[H] + [Pt] <=> [Pt],5.91604629255e-08,6.18832312373e-08,3.79919284176e-09,-1.07643011868e-09,-2.03782563343e-07,2.06505322062e-07,-2.72276445452e-09,7.44385806505e-08,7.17158161605e-08,6.3391900478e-11,6.29535954043e-11,0.186942766753
4,C + 2 [Pt] <=> C[Pt] + [Pt],0.00777490964012,-0.727580252879,-0.352691265359,-0.380127339716,0.784518421292,-1.52570020674,0.735412340164,-0.00143484083494,0.733966947332,0.000336989729995,0.000336989729702,0.647109577222
5,CC + 2 [Pt] <=> 2 C[Pt],0.00080068336936,0.000838560941815,-0.000550167961424,0.000588045628764,-0.00137613212304,0.00141400947751,-3.78778757287e-05,-0.000774036432325,-0.000811914014869,-3.78958810248e-07,-3.7895928102e-07,0.546448087432
6,[CH3] + [Pt] <=> C[Pt],-3.3209278561e-05,-6.30860681842e-05,1.92708759551e-05,-4.91476614229e-05,6.52266162478e-05,-9.51034154527e-05,2.98767797102e-05,0.000603486164871,0.000633363124895,3.18224613168e-07,3.18224548234e-07,0.560828300259
7,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.00483449107246,-0.00516411299297,0.00252636446772,-0.00285597878051,0.0101363948111,-0.010466034207,0.000329605985745,0.00452615474781,0.00485577565204,2.02251407183e-06,2.02251374716e-06,0.575208513086
8,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-1.19836409148e-05,-1.19934295107e-05,6.24219182325e-07,-6.34007773117e-07,3.80769065035e-05,-3.80866951154e-05,9.78859898685e-09,-1.20525928417e-07,-1.10737322016e-07,-1.50647077192e-11,-1.5438078708e-11,0.373885533506
9,2 C=[Pt] <=> C[Pt] + C#[Pt],2.74159353673e-08,-7.09746624967e-09,-3.30454693501e-08,-1.46794254567e-09,-1.44845618419e-08,-2.00288571631e-08,3.45134126453e-08,5.62891019222e-08,9.0802518294e-08,7.394368929e-11,7.368395295e-11,0.0862812769629
10,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],2.48394372324e-08,-2.5246256792e-09,-2.49828468285e-08,-2.38121373055e-09,-2.45099988338e-08,-2.8540787657e-09,2.73640669111e-08,1.10139428524e-07,1.37503500682e-07,1.34121352561e-10,1.33569412838e-10,0.661489790049
11,C~[Pt] + [H][H] <=> C=[Pt],-4.57133047235e-08,-3.66912906471e-09,4.21331466734e-08,-8.8968738917e-11,5.39371040571e-08,-1.18929423901e-08,-4.20441659924e-08,3.45213122527e-08,-7.52285040806e-09,-9.90244796199e-13,-1.41231634868e-12,0.129421915444
12,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],-3.88969925352e-06,-4.25278473915e-06,1.99006658223e-06,-2.35315205979e-06,8.25326817537e-06,-8.61635368393e-06,3.63085470445e-07,3.74352070818e-06,4.1066061983e-06,1.73664586971e-09,1.73654846859e-09,0.589588725913
13,C=[Pt] + C~[Pt] <=> 2 C#[Pt],-2.52859029506e-07,1.87820319018e-09,2.52791321381e-07,1.94591302495e-09,2.53014541038e-07,1.72268334923e-09,-2.54737226803e-07,1.19588962186e-07,-1.35148265303e-07,-2.0454236774e-12,-2.46749522987e-12,0.60396893874
14,[H][H] + [Pt] <=> [H][H].[Pt],-1.31919695576e-07,1.27865246622e-09,1.31932708783e-07,1.26562403988e-09,1.31889749322e-07,1.30857953444e-09,-1.33198332509e-07,4.47857412271e-08,-8.84125934536e-08,-1.03894535995e-12,-1.59088508242e-12,0.661489790049
15,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.029553581627,-0.182044587831,-0.103523261019,-0.107918343681,0.140359160121,-0.352316968116,0.211660722783,-0.000418542301159,0.211241294592,9.69885363514e-05,9.69885358644e-05,0.632729364395
