,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-8.87959003839e-10,1.15985268504e-07,1.15520774375e-07,1.35243487846e-09,-1.14979426576e-07,2.31852658205e-07,-1.16873220412e-07,-6.27260674347e-09,-1.23145820293e-07,-6.64304906008e-11,-6.72744645835e-11,5.1459524526
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],1.17508592737e-06,1.09255252199e-06,-1.72705836403e-08,-6.5262812578e-08,-2.34537066631e-06,2.26283727306e-06,8.25334021326e-08,1.11320653128e-08,9.36654662293e-08,4.22473899423e-11,4.2620686127e-11,-0.150466445983
2,[H][H] + 2 [Pt] <=> 2 [Pt],-7.81824993708e-06,-7.85009619294e-06,-3.06585367327e-08,-1.18771715438e-09,1.57516894716e-05,-1.57835357297e-05,3.18462488357e-08,-2.42543978104e-08,7.59185003778e-09,-1.51753014199e-11,-1.46397025463e-11,-0.25579295817
3,[H] + [Pt] <=> [Pt],6.85143723935e-08,1.29408914165e-07,6.07037838671e-08,1.90776527394e-10,-1.99124158398e-07,2.60018702724e-07,-6.08945385168e-08,1.77899239361e-08,-4.31046171829e-08,-1.25622281273e-11,-1.32763599588e-11,5.29641889859
4,C + 2 [Pt] <=> C[Pt] + [Pt],-0.208301801209,-0.960891141403,-0.353165456711,-0.395207124337,0.775815938006,-1.53266745091,0.751024941713,-0.00203340613818,0.748976264188,0.000493866917002,0.000493866918512,-48.4201023172
5,CC + 2 [Pt] <=> 2 C[Pt],0.0014230765092,0.00148896822113,-0.000808054674014,0.000873946791206,-0.00204472199426,0.00211061329658,-6.58926496334e-05,-0.00112935067784,-0.00119524258332,-8.01265068844e-07,-8.01261676717e-07,-19.5154980439
6,[CH3] + [Pt] <=> C[Pt],8.75809821593e-06,-1.03936659977e-05,-8.39947305485e-06,-1.07522912096e-05,-9.12058566975e-06,-1.0031178471e-05,1.91517658844e-05,0.000315559674839,0.000334711501159,2.41351191145e-07,2.41351694284e-07,-0.436352693349
7,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-0.0078445686843,-0.00836117771459,0.00328063647233,-0.00379722192678,0.0124576534424,-0.0129742863024,0.000516568507712,0.00576197336823,0.00627857164048,3.79106366112e-06,3.79106323913e-06,-2.82876918447
8,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-1.63533038869e-05,-1.60431510294e-05,1.03287397061e-06,-7.22721160143e-07,3.18387314638e-05,-3.15285785444e-05,-3.10152812976e-07,1.75452637732e-08,-2.92607543535e-07,-1.8710253986e-10,-1.87151230666e-10,2.6181161601
9,2 C=[Pt] <=> C[Pt] + C#[Pt],-6.24175642218e-08,9.76232860729e-08,1.58553962664e-07,1.48689716932e-09,-3.47541807087e-08,1.9479502841e-07,-1.60040846387e-07,4.38657092549e-08,-1.16175135902e-07,-7.54869806461e-11,-7.60225795197e-11,3.58110141438
10,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-8.02837841842e-08,1.08721148854e-07,1.86894405574e-07,2.11055040111e-09,-2.74749673943e-08,2.16479905673e-07,-1.89004933985e-07,3.1554677669e-08,-1.57450261671e-07,-5.28782160707e-11,-5.39981046247e-11,5.29641889859
11,C~[Pt] + [H][H] <=> C=[Pt],-8.93174487183e-08,7.87999243067e-08,1.66044145492e-07,2.07322024381e-09,1.17644222959e-08,1.56352958097e-07,-1.68117369668e-07,2.64480928069e-08,-1.41669273125e-07,-8.94774724364e-11,-9.01916042679e-11,2.01625037617
12,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],-1.099754288e-05,-1.16000374619e-05,4.71676736538e-06,-5.31926190262e-06,1.73459609868e-05,-1.79484556068e-05,6.02494511328e-07,8.08032769695e-06,8.6828222642e-06,5.21475293649e-09,5.21342205444e-09,5.32651218778
13,C=[Pt] + C~[Pt] <=> 2 C#[Pt],2.10602357164e-08,8.89172865143e-08,6.75130179111e-08,3.44052763842e-10,-1.10587382426e-07,1.78444448842e-07,-6.78570549942e-08,-1.33325003202e-08,-8.1189551683e-08,-2.36475017848e-11,-2.43940941542e-11,5.31146554318
14,[H][H] + [Pt] <=> [H][H].[Pt],-1.20961300972e-07,1.04248738361e-07,2.22723571957e-07,2.48647486781e-09,1.81030940893e-08,2.0710695905e-07,-2.25210043483e-07,1.82951904136e-08,-2.06914855082e-07,-1.1992545689e-10,-1.20964194099e-10,5.25127896479
15,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.0135357965639,-0.199395782808,-0.0897068718917,-0.0959612535127,0.117890365851,-0.303944279234,0.185834832019,-0.000510338732147,0.1853235449,0.000122200941417,0.000122200951658,-69.5907312669
16,[Pt] + O=[Pt] <=> O[Pt] + [Pt],0.948418127012,0.942381357014,-0.0485394421149,0.0424478283616,-1.85798830742,1.85200697183,0.00609457202459,-0.000191383660185,0.0059031767004,3.90890195412e-06,3.90890089915e-06,5.22118567559
17,O + 2 [Pt] <=> O[Pt] + [Pt],0.0127330562944,0.0188370261113,0.0499172465658,-0.0438094521063,-0.0760580891368,0.0821581931205,-0.00610474713776,0.000200141570337,-0.00590461778557,-3.91041743924e-06,-3.91041464764e-06,-62.5789948841
18,CO + 2 [Pt] <=> C[Pt] + O[Pt],0.00370223557882,0.00394893800683,-0.00173372000752,0.00198042729209,-0.00569195162984,0.005938649149,-0.000246711561847,-0.00359816868564,-0.00384487137039,-2.15274151195e-06,-2.15272669371e-06,-32.8769184472
19,[OH] + [Pt] <=> O[Pt],-0.00104400930676,-0.00463767916515,-0.000763300111684,-0.00283030479864,0.00287078305018,-0.0064645185561,0.00359363234053,-0.00031207294837,0.00328154817741,2.14338065567e-06,2.14338018499e-06,5.31146554318
20,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],0.00135564716634,0.00134322025073,-4.97422941606e-05,3.73152162624e-05,-0.00267561634677,0.00266318959519,1.24270840771e-05,3.83159235621e-05,5.07430123954e-05,3.11432729426e-08,3.11431917912e-08,3.55100812519
21,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],0.00787409873112,0.00782398718563,-0.000401021289221,0.000350905998553,-0.0154276595734,0.0153775518134,5.01154916325e-05,-1.48375811268e-06,4.86317327759e-05,3.2154662149e-08,3.21569019261e-08,-61.7664760758
22,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],1.92558587927e-07,1.03062670339e-07,-8.76573509348e-08,-1.83856341378e-09,-2.98589566792e-07,2.09093638645e-07,8.949591861e-08,-6.34268946583e-08,2.60690296196e-08,3.95044744985e-11,3.83845859445e-11,5.31146554318
23,C + O[Pt] + [Pt] <=> C[Pt] + O.[Pt],-0.0265735811855,-0.149460234586,-0.0268648288294,-0.0959561733428,0.0805875111228,-0.2035405228,0.122854006691,-0.00021072503627,0.12264302277,8.08581842858e-05,8.08581837664e-05,3.80680108336
24,O + [Pt] <=> O.[Pt],-9.75845681833e-08,1.20105967943e-07,2.18379298064e-07,-6.88771884461e-10,-2.45110729927e-08,2.4220159756e-07,-2.17690531046e-07,4.8818836121e-08,-1.68871690681e-07,-1.05723971604e-10,-1.06892550964e-10,5.29641889859
25,O.[Pt] + O=[Pt] <=> 2 O[Pt],-0.243185661123,-0.183386632312,0.488404835662,-0.428459523905,-0.00467446999097,0.0643256404213,-0.0596539589368,0.00195239861516,-0.0577027250047,-3.82137485037e-05,-3.82137489906e-05,0.195606379777
26,O[Pt] + [Pt] <=> O.[Pt] + [Pt],-1.19181491765e-07,1.02686542627e-07,2.78602868795e-07,-5.67348352608e-08,-4.19568184314e-08,2.63824853692e-07,-2.21868037955e-07,4.41281791155e-08,-1.7773986258e-07,-8.37806480531e-11,-8.43487074645e-11,5.28137225399
27,[C-]#[O+] + [Pt] <=> O=C=[Pt],-1.80883704646e-06,-1.74877801276e-06,3.77421506675e-06,-3.71415603263e-06,-1.77707620075e-07,2.37766667438e-07,-6.00590371349e-08,-9.77752398812e-09,-6.98365675876e-08,-6.28111406365e-12,-7.10885777746e-12,5.26632560939
28,C~[Pt] + O=[Pt] <=> O=C=[Pt] + [Pt],-0.00776326632534,-0.00772296561195,0.000382627566557,-0.000342329827379,0.0152233929403,-0.0151830892206,-4.02975849852e-05,-5.51485928004e-06,-4.58124420436e-05,-2.99504780207e-08,-2.99507052445e-08,5.1910923864
29,[C-]#[O+] + [Pt] <=> [C-]#[O+].[Pt],-1.24666382211e-08,1.08862588723e-07,1.19988966733e-07,1.34027032284e-09,-9.62136607422e-08,2.17542884513e-07,-1.21329232744e-07,2.24198873669e-08,-9.89093490178e-08,-9.12790322841e-11,-9.24638419137e-11,4.2732470659
30,CO + [Pt] <=> CO.[Pt],-1.18814783408e-07,7.74311660889e-08,1.94574029895e-07,1.67191750839e-09,4.22396264999e-08,1.54006325114e-07,-1.96245955885e-07,7.07114850213e-08,-1.25534465514e-07,-4.95997017533e-11,-5.08169719206e-11,5.26632560939
31,CC + [Pt] <=> CC.[Pt],1.39573291676e-08,8.40423931439e-08,7.0132141179e-08,-4.70561306792e-11,-9.89524032369e-08,1.69037481623e-07,-7.00850686023e-08,4.82908388452e-08,-2.1794237052e-08,2.8889878639e-12,1.73663877212e-12,5.25127896479
32,[CH]C + [Pt] <=> [CH]C.[Pt],-3.48493077097e-08,9.0378922107e-08,1.25214798157e-07,1.34405579644e-11,-5.64893778168e-08,1.81717620017e-07,-1.25228234231e-07,4.02485105708e-08,-8.4979724337e-08,-1.05788892679e-10,-1.04052253907e-10,-50.1053265122
33,C=C + [Pt] <=> C=C.[Pt],-6.5005318311e-08,8.13889880324e-08,1.44643073222e-07,1.75124232043e-09,-1.54901177045e-08,1.6188441475e-07,-1.4639430397e-07,2.14608641639e-08,-1.24933436884e-07,-1.17361074404e-10,-1.18042745697e-10,5.31146554318
34,C=O + [Pt] <=> C=O.[Pt],-1.2971448018e-07,1.16940140852e-07,2.43715791545e-07,2.93883187457e-09,1.44853997664e-08,2.32169204522e-07,-2.46654618644e-07,6.41199106109e-08,-1.8253470185e-07,-1.29160479893e-10,-1.30264138178e-10,5.26632560939
35,O=C=O + [Pt] <=> O=C=O.[Pt],-7.07969543654e-08,1.17929492998e-07,1.85781613944e-07,2.94482908556e-09,-4.54260647063e-08,2.3415250212e-07,-1.88726443448e-07,1.82234941059e-08,-1.70502953655e-07,-3.85306583646e-11,-3.95531653052e-11,5.29641889859
36,O=C=[Pt] + O=[Pt] <=> O=C=O.[Pt] + [Pt],-6.00296009084e-08,1.00289747611e-07,1.58102894372e-07,2.216472773e-09,-3.9099877599e-08,1.99419235718e-07,-1.60319351809e-07,9.58807835132e-09,-1.50731275037e-07,-1.12751678037e-10,-1.13563191482e-10,2.84381582907
