,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],-8.67382521494e-08,3.3201456258e-08,1.42276398123e-07,-2.23367080914e-08,1.88250466817e-08,1.01114644431e-07,-1.19939700442e-07,1.11535193119e-07,-8.40450066442e-09,2.27546342125e-08,1.59409728065e-10,0.0
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.0161333025859,0.0158023085751,-0.0177524134857,0.0174214248348,-0.0141534199434,0.0138224193782,0.000331047419731,0.00869692798491,0.00902800419559,0.00187154121516,0.0136584459471,0.082850041425
2,[H][H] + 2 [Pt] <=> 2 [Pt],-7.92466431297e-05,-7.70996453628e-05,-1.32185443418e-05,1.53655401101e-05,0.000192315006599,-0.000190168006408,-2.14699605975e-06,1.01488046327e-05,8.00180835825e-06,-9.10399943729e-06,-9.63760084562e-05,0.0
3,[H] + [Pt] <=> [Pt],-0.0342637774396,-0.0352127840922,0.0355998260958,-0.0365488454232,0.0326300292237,-0.0335790203772,0.000948681598418,-0.0198876533463,-0.0189391604184,-0.00439769918753,-5.92489579856e-05,0.0
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],1.47116839311e-05,8.66821717995e-06,-9.37887107055e-05,8.77452487176e-05,8.19853568267e-05,-8.80288294233e-05,6.04346764315e-06,3.94596357863e-05,4.55031058216e-05,2.07495025724e-07,1.44751829054e-06,0.0
5,O + 2 [Pt] <=> O[Pt] + [Pt],0.00094000076365,0.000454089729079,-0.0066698799953,0.00618399680311,0.00606661529708,-0.00655256037788,0.00048591560218,0.00272082292441,0.0032067517475,-1.27738934535e-05,0.000607967585621,0.0
6,[OH] + [Pt] <=> O[Pt],-0.000344021770272,-0.000365548904592,0.000375837326796,-0.000397364467999,0.000305117042889,-0.000326644168852,2.15270602732e-05,-0.000227449498653,-0.000205922487345,-4.72092053763e-05,-9.04937623171e-05,0.0
7,C + 2 [Pt] <=> C[Pt] + [Pt],-0.031057691678,-0.0315117946042,0.032396280117,-0.0328503891199,0.0294208377626,-0.029874933258,0.000453961936029,-0.0174765988828,-0.0170227162839,-0.00388244490996,-0.000364624968981,0.0
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.0748885883906,-0.0755939281102,0.0806149207858,-0.0813203008652,0.0678863094757,-0.0685915998423,0.000704811895899,-0.0428447673722,-0.0421402574513,-0.00926096398159,-0.00431589780789,-0.248550124275
9,CC + 2 [Pt] <=> 2 C[Pt],-0.000207593280836,-0.000112266276557,0.000241120088325,-0.000145793052105,0.000166596000035,-7.12690348539e-05,-9.53268063816e-05,1.97630158077e-05,-7.55638094132e-05,-8.14836058751e-07,-1.99573797126e-05,0.0
10,[CH3] + [Pt] <=> C[Pt],-0.0155657018033,-0.0109535126359,0.0174584539689,-0.0128461775179,0.0132512049026,-0.00863912246765,-0.00461147135944,-0.00204633320969,-0.00665771020306,-0.000709065963563,-0.00183854242276,0.0
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],5.76253937031e-07,3.58169068156e-06,-8.59443014519e-07,3.86487970651e-06,-2.29964415325e-07,3.23540114456e-06,-3.0054367485e-06,5.10754282002e-06,2.10210591906e-06,8.27442600899e-07,-3.4916100156e-08,0.0
12,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-1.22581058411e-07,1.11384289963e-08,1.76939876745e-07,-4.32204101272e-08,5.61099185632e-08,7.76095534037e-08,-1.33719485275e-07,1.09298231231e-07,-2.44212626567e-08,1.94945236731e-08,-8.79325312751e-09,0.0
13,C=[Pt] + O[Pt] <=> C[Pt] + O=[Pt],-6.59131765916e-08,3.09021989714e-08,1.09841860022e-07,-1.30264877296e-08,1.21962440925e-08,8.46191349219e-08,-9.68153776072e-08,9.19280342923e-08,-4.88734441087e-09,1.87609992042e-08,5.72834993022e-10,0.0
14,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-6.44577005851e-08,4.28277569026e-08,1.12211280969e-07,-4.92583751324e-09,6.06360416227e-09,1.01221850053e-07,-1.07285452192e-07,1.05375254188e-07,-1.91020497743e-09,2.12283043904e-08,7.22457718369e-09,0.0
15,C#[Pt] + O[Pt] <=> C=[Pt] + O=[Pt],-5.42437613088e-08,1.37693895718e-08,7.80520148045e-08,-1.00388696319e-08,2.51305314172e-08,4.28826065607e-08,-6.80131540131e-08,6.46006050755e-08,-3.41254822506e-09,1.2862470703e-08,1.74235779539e-09,0.0
16,2 C=[Pt] <=> C[Pt] + C#[Pt],-7.06131420047e-08,3.96436593574e-08,1.19697594553e-07,-9.44079969612e-09,1.05916272889e-08,9.96651615975e-08,-1.10256797032e-07,1.07496788032e-07,-2.76001666164e-09,2.26786735355e-08,3.28258840789e-10,0.0
17,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-5.85643058775e-08,5.73337918216e-08,1.04921619934e-07,1.09764360812e-08,1.87757266629e-09,1.14020495378e-07,-1.15898093219e-07,1.18204952238e-07,2.30685569371e-09,2.2024603484e-08,-6.91759935083e-10,0.0
18,C~[Pt] + [H][H] <=> C=[Pt],-6.99649279633e-08,3.64207957123e-08,1.04760906182e-07,1.62478673874e-09,2.74156582413e-08,7.89700428466e-08,-1.06385723037e-07,1.08413230921e-07,2.02750758215e-09,2.06842791093e-08,-8.65444612824e-09,0.0
19,C~[Pt] + O[Pt] <=> C#[Pt] + O=[Pt],-5.81851056266e-08,2.32813060706e-08,9.57594323277e-08,-1.42930145938e-08,1.22384133216e-08,6.92279904455e-08,-8.14664148229e-08,7.70560238373e-08,-4.41039586385e-09,1.64252647371e-08,4.87075074609e-10,0.0
20,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],-8.35775515126e-08,4.14689219109e-08,1.37726706908e-07,-1.26802598196e-08,1.73627918879e-08,1.07683672877e-07,-1.25046470472e-07,1.16637154249e-07,-8.40932224318e-09,2.20548235329e-08,-6.32495295468e-10,0.0
21,C=[Pt] + C~[Pt] <=> 2 C#[Pt],-5.73540563275e-08,3.46346928233e-08,9.6966147169e-08,-4.97741236674e-09,8.91552301791e-09,8.30732226994e-08,-9.19887384376e-08,8.89693656171e-08,-3.01937039418e-09,1.74765263744e-08,-1.13103046133e-10,0.0
