,C/O ratio,CH4 Conv,O2 Conv,CO Selec,H2 Selec,H2O Selec
0,0.6,0.423344350616,0.999999999996,0.00849206920439,0.00862398794461,0.65804188133
1,0.7,0.364294378832,0.999999999997,0.010071173227,0.0103243367278,0.65634174908
2,0.8,0.319997149341,0.999999999998,0.0115326429841,0.0118819539286,0.654784232236
3,0.9,0.285538206615,0.999999999998,0.0129081568018,0.0133242115817,0.65334202138
4,1.0,0.257953618273,0.999999999999,0.0141691888443,0.0146706766913,0.651995576534
5,1.1,0.235349037931,0.999999999999,0.0152605010614,0.0159341773687,0.650732082486
6,1.2,0.216474683841,0.999999999999,0.016181700983,0.0171272954735,0.649538963718
7,1.3,0.200476972984,0.999999999999,0.0169778487478,0.0182618824969,0.648404371958
8,1.4,0.186747233683,0.999999999999,0.0176928193089,0.0193471239607,0.647319123385
9,1.6,0.164407347285,0.999999999999,0.0189829789417,0.021394871929,0.645271357466
10,1.8,0.147008881245,0.999999999999,0.0201677483833,0.02330796192,0.643358247193
11,2.0,0.133074338895,0.999999999999,0.0212879614383,0.0251111564262,0.641555031495
12,2.2,0.121660681072,0.999999999999,0.0223602813479,0.0268225066764,0.639843659735
13,2.4,0.112140315448,1.0,0.0233930833202,0.0284556449068,0.638210522959
14,2.6,0.104071555978,1.0,0.0243909531678,0.0300224069332,0.636643716433
