,Reaction,SYNGAS Selec,SYNGAS Yield,CO Selectivity,CO % Yield,H2 Selectivity,H2 % Yield,CH4 Conversion,H2O+CO2 Selectivity,H2O+CO2 yield,Exit Temp,Peak Temp,Dist to peak temp
0,C + [Pt] <=> C.[Pt],8.80916099209e-08,-4.59016861432e-10,-8.89792474949e-08,4.28591350761e-10,0.00124262343069,-0.00124271198243,8.85506367159e-08,-8.90476851299e-08,-4.9704975253e-10,-1.91640559483e-11,-1.91640559483e-11,0.0
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],0.0807121229252,1.06772497109,-0.0807118226738,1.06772467381,-0.501075768254,1.48393622175,-0.987810130696,-0.00511567110701,-0.992875268686,-1.54796669939e-05,-1.54796669939e-05,0.0
2,[H][H] + 2 [Pt] <=> 2 [Pt],6.17032102194e-08,-1.27086024806e-09,-6.29326521409e-08,-4.14207906212e-11,0.00172118667957,-0.00172124965474,6.29740701096e-08,-6.3044609827e-08,-7.05459778651e-11,-2.17625720091e-11,-2.17625720091e-11,0.0
3,[H] + [Pt] <=> [Pt],7.31960150852e-08,-2.41200486185e-10,-7.39881904914e-08,5.50982992414e-10,0.00110898847556,-0.0011090619136,7.34372156272e-08,-7.4056071714e-08,-6.18858261003e-10,-2.00248143935e-11,-2.00248143935e-11,0.0
4,[Pt] + O=[Pt] <=> O[Pt] + [Pt],-2.74308920407e-08,4.92585855708e-09,2.70544878354e-08,5.30224946428e-09,0.000526998170853,-0.000526965813944,-3.23567447349e-08,2.56771415685e-08,-6.67960853522e-09,-4.23720525163e-11,-4.23720525163e-11,0.0
5,O + 2 [Pt] <=> O[Pt] + [Pt],7.67723692418e-07,-2.71669675656e-06,-7.68266439906e-07,-2.71615401449e-06,0.000759094443968,-0.000762578890908,3.48442048834e-06,-7.91262379978e-08,3.4052942504e-06,-7.81178890775e-12,-7.81178890775e-12,0.0
6,[OH] + [Pt] <=> O[Pt],3.10394554906e-08,-1.70776368231e-09,-3.1600284225e-08,-1.14695175189e-09,0.000785138716998,-0.000785171464502,3.27472279322e-08,-3.07772746842e-08,1.96994753328e-09,-2.97367681707e-11,-2.97367681707e-11,0.0
7,C + 2 [Pt] <=> C[Pt] + [Pt],3.91780034636e-08,-1.70721658236e-09,-4.01649175183e-08,-7.2031937333e-10,0.00138167191768,-0.00138171280347,4.0885222923e-08,-4.00846004267e-08,8.00617051056e-10,-1.95700740828e-11,-1.95700740828e-11,0.0
8,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],0.0305929052279,-0.114149788586,-0.0305929809121,-0.114149712792,0.0753679788346,-0.220264090221,0.14478698836,-0.0019494432754,0.142834722544,2.20336998756e-06,2.20336998756e-06,0.0
9,CC + 2 [Pt] <=> 2 C[Pt],0.680469707624,-0.173960170842,-0.680470179815,-0.173959694588,-0.0193831124555,-0.840733987219,0.860283849461,-0.0406070117167,0.819327502181,1.23565231595e-05,1.23565231595e-05,0.0
10,[CH3] + [Pt] <=> C[Pt],0.010229582848,-0.00259873493506,-0.0102302918904,-0.00259802580176,0.982457234968,-0.995412910799,0.0128296302008,-0.000610652071397,0.012218899785,5.58303356205e-08,5.58303356205e-08,0.0
11,CO + 2 [Pt] <=> C[Pt] + O[Pt],0.00482970566656,-0.0106760046131,-0.0048297095962,-0.0106760006829,0.000671949637112,-0.0161785130287,0.015506459196,-0.00581119495225,0.00969436313319,2.7153971508e-07,2.7153971508e-07,0.0
