,Species,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,[Pt],0.000972525861776,0.000926462916719,0.0018989797684,0.00132727500547,0.000880672617921
1,[Pt],-0.000474960189187,-0.000403782255397,-0.000878744362396,-0.00215485280153,-0.000381798565846
2,O=[Pt],-0.000474694257614,-0.000403647037555,-0.000878343211268,0.000701803332259,-0.000381509360134
3,C[Pt],-4.64416631019e-09,-1.24997134515e-07,-1.29641301632e-07,8.21155172199e-09,-4.46963728499e-09
4,O[Pt],-2.76340266839e-05,-1.96586651289e-05,-4.72926972484e-05,-5.96288064738e-06,-1.84204890985e-05
5,O.[Pt],3.85469920705e-08,4.04190817542e-08,7.89660736269e-08,1.25097847964e-07,2.54218257186e-08
6,O=C=O.[Pt],-1.08289112811e-08,-1.07415899091e-07,-1.18244815567e-07,-0.00142848987222,-4.00444360584e-09
7,O=C=[Pt],-1.08283591985e-08,-4.29076640725e-08,-5.37360282298e-08,4.52448007589e-09,-4.00399039505e-09
8,C~[Pt],3.17895623349e-07,6.85273298932e-08,3.86422947974e-07,0.00142822123315,2.11672514543e-07
9,C=[Pt],-6.24684175687e-06,-4.91067939698e-06,-1.11575214616e-05,-4.63658267705e-06,-4.6407295233e-06
10,C#[Pt],-2.13829813069e-05,-1.50797272534e-05,-3.64627117878e-05,-3.71412647433e-06,-1.4144448741e-05
11,C.[Pt],3.20324478967e-05,-7.91429123777e-05,-4.71104391318e-05,0.000140206971094,-8.04095739489e-05
12,[H][H].[Pt],-2.34370113307e-09,9.11971863654e-08,8.88534826225e-08,5.52371581809e-09,-2.16917559226e-09
13,CC.[Pt],-7.28089712349e-09,1.83571727105e-08,1.10762656364e-08,6.33883178817e-09,-4.56528288926e-10
