,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp
0,0.599999999998,0.0422061093119,0.0422060974887,2.53046780044e-11,1.51920914235e-17,5.82979895296e-09,2.16641766126e-17,700.000079312,700.000079312,70.0
1,0.7,0.0476422387957,0.047642224894,2.94623822591e-11,2.36252356923e-17,6.84580697116e-09,2.74993961741e-17,700.000092894,700.000092894,70.0
2,0.800000000001,0.0527365757071,0.0527365597101,3.35932708909e-11,3.4516129494e-17,7.86870087443e-09,3.38134721925e-17,700.000106497,700.000106497,70.0
3,0.900000000002,0.0575203724875,0.0575203543809,3.76988813535e-11,4.81061319784e-17,8.89730086345e-09,4.05804273476e-17,700.000120111,700.000120111,70.0
4,0.999999999997,0.0620211841062,0.0620211638781,4.17809843067e-11,6.46563780972e-17,9.93060917446e-09,4.77793172799e-17,700.000133729,700.000133729,70.0
5,1.1,0.0662633991613,0.066263376802,4.58414394304e-11,8.43712357212e-17,1.09677774702e-08,5.53929892886e-17,700.000147345,700.000147345,70.0
6,1.2,0.0702686819927,0.0702686574938,4.98820992197e-11,1.07455559393e-16,1.20080783496e-08,6.34072084119e-17,700.000160957,700.000160957,70.0
7,1.3,0.0740563427297,0.0740563160846,5.3904777823e-11,1.34101740336e-16,1.30508889448e-08,7.18100784723e-17,700.00017456,700.00017456,70.0
8,1.4,0.0776436486167,0.0776436198199,5.79112089961e-11,1.64492793218e-16,1.40956711271e-08,8.05915648618e-17,700.000188154,700.000188154,70.0
9,1.6,0.0842775898859,0.0842775567735,6.58818362835e-11,2.37198752993e-16,1.61893559119e-08,9.92576891717e-17,700.000215305,700.000215305,70.0
10,1.8,0.0902768488471,0.0902768114084,7.38060562359e-11,3.26877926438e-16,1.82861134758e-08,1.19351731647e-16,700.0002424,700.0002424,70.0
11,2.0,0.0957283493814,0.0957283076111,8.16944766074e-11,4.34731471182e-16,2.03836667056e-08,1.40834565509e-16,700.000269435,700.000269435,70.0
12,2.19999999999,0.100703835316,0.100703789213,8.95563534697e-11,5.61873946004e-16,2.24802913108e-08,1.63677831854e-16,700.000296407,700.000296407,70.0
13,2.40000000001,0.105263045535,0.105262995101,9.73997396346e-11,7.09816889498e-16,2.45746786149e-08,1.87861234446e-16,700.000323317,700.000323317,70.0
14,2.6,0.109456124149,0.109456069389,1.05231651052e-10,8.78129531645e-16,2.66658386961e-08,2.1337069399e-16,700.000350164,700.000350164,70.0
