,C/O ratio,CH4 Conv,O2 Conv,CO Selec,H2 Selec,H2O Selec
0,0.6,0.031470987121,0.0145552578951,0.0492225537229,0.133110906139,0.431757657975
1,0.7,0.030942207321,0.0161694545229,0.0464365933322,0.133924424737,0.43177260866
2,0.8,0.0304884443166,0.0177287849085,0.0439317886445,0.134364874928,0.431971248927
3,0.9,0.0300924608907,0.0192462176715,0.0416675055416,0.134536662857,0.432298770683
4,1.0,0.0297424894861,0.0207312359367,0.0396107621968,0.134510330634,0.432718778047
5,1.1,0.0294301118031,0.0221909865181,0.037734439813,0.134335173078,0.433206266781
6,1.2,0.0291490787393,0.0236309851148,0.0360160026436,0.134046582801,0.433743586969
7,1.3,0.0288946106583,0.0250555713863,0.0344365509783,0.133670540945,0.434318002954
8,1.4,0.0286629607214,0.0264682146032,0.0329801051126,0.133226475056,0.434920157544
9,1.6,0.028256679074,0.0292684086791,0.0303837323202,0.132189888731,0.436181477039
10,1.8,0.0279121690943,0.0320486037077,0.028139343889,0.131019096593,0.437489600909
11,2.0,0.0276168338458,0.0348206380475,0.0261811878478,0.129764674844,0.438822163131
12,2.2,0.0273614993598,0.0375929850654,0.0244588817502,0.128458744778,0.440165623383
13,2.4,0.0271392572767,0.0403718517531,0.0229331536096,0.127122205378,0.441511653526
14,2.6,0.0269447660394,0.0431618690265,0.021572933294,0.125768894131,0.442855101729
