,Reaction,H2+CO Selec,Normalized H2+CO Selec,Normalized2 H2+CO Selec,CO Yield,H2 Yield
0,C + [Pt] <=> C.[Pt],-9.00729729784e-07,-2.12819224906e-07,-1.113548959e-06,1.69072775869e-08,1.34855550051e-08
1,[O][O] + 2 [Pt] <=> 2 O=[Pt],4.86981732664e-07,9.95869005949e-07,1.48285073195e-06,-4.68618913437e-08,1.91172526719e-06
2,[H][H] + 2 [Pt] <=> 2 [Pt],-1.1034919761e-05,-1.0332335136e-05,-2.13672560316e-05,1.63910095165e-08,-1.56416329686e-05
3,[H] + [Pt] <=> [Pt],-9.3592159678e-07,-2.28054411141e-07,-1.16397600802e-06,1.77107375406e-08,1.20391534524e-08
4,C + 2 [Pt] <=> C[Pt] + [Pt],-0.395243995834,-1.14685469266,-1.54663156281,-0.39268070303,-1.55469864534
5,CC + 2 [Pt] <=> 2 C[Pt],-8.98925707062e-07,-2.20406577776e-07,-1.11933228804e-06,1.68516007987e-08,1.31297347369e-08
6,[CH3] + [Pt] <=> C[Pt],0.000236259209857,3.49313363202e-05,0.000271190463653,-1.77747551297e-05,-3.10577410133e-05
7,C=[Pt] + [Pt] <=> C[Pt] + [Pt],-3.92001841796e-05,-3.86067742395e-05,-7.78069735504e-05,-1.64234017004e-06,-5.87334887673e-05
8,C#[Pt] + [Pt] <=> C=[Pt] + [Pt],-8.79090152779e-07,-4.90529941468e-07,-1.36962009379e-06,1.75002249285e-08,4.21344673039e-08
9,2 C=[Pt] <=> C[Pt] + C#[Pt],-9.1604937581e-07,-1.65333996103e-07,-1.08138337651e-06,1.71841703096e-08,1.36991707565e-08
10,C#[Pt] + [Pt] <=> C~[Pt] + [Pt],-1.02613106621e-06,-1.62719102407e-07,-1.18885017432e-06,1.9088400085e-08,1.52020019552e-08
11,C~[Pt] + [H][H] <=> C=[Pt],-7.45855859188e-07,-2.38142504809e-07,-9.83998361316e-07,1.37626052062e-08,-2.39988321389e-08
12,C[Pt] + C~[Pt] <=> C=[Pt] + C#[Pt],-1.02504958011e-06,-1.57528887041e-07,-1.1825784668e-06,1.91091377723e-08,1.51990176951e-08
13,C=[Pt] + C~[Pt] <=> 2 C#[Pt],-6.38642449336e-07,-3.36365586392e-07,-9.75008041196e-07,1.24698863474e-08,9.99461875244e-09
14,[H][H] + [Pt] <=> [H][H].[Pt],-9.07638175576e-07,-2.47901814653e-07,-1.15553999034e-06,1.72920536682e-08,1.37877942391e-08
15,C + O=[Pt] + [Pt] <=> C[Pt] + O[Pt],-0.0499348572555,-0.239112718361,-0.289166976211,-0.0973898368675,-0.315756000236
16,[Pt] + O=[Pt] <=> O[Pt] + [Pt],1.24323738414,1.23752307555,2.46537511019,0.0420339572385,1.88396791868
17,O + 2 [Pt] <=> O[Pt] + [Pt],0.0317644329828,0.0376248235991,0.06937730527,-0.0426145675997,0.0810089589174
