,C/O ratio,CH4 in,CH4 out,CO out,H2 out,H2O out,CO2 out,Exit temp,Max temp,Dist to max temp
0,0.6,0.0164694267979,0.016468815559,1.55243224998e-19,3.31188890502e-14,3.05556205106e-07,2.12557109285e-14,700.00822369,700.00822369,70.0
1,0.7,0.0185906821815,0.0185900098212,1.203014104e-19,4.55324923866e-14,3.36105836252e-07,1.67004909132e-14,700.00885699,700.00885699,70.0
2,0.799999999999,0.0205785652206,0.0205778390512,9.73450969894e-20,5.95354973411e-14,3.62999840451e-07,1.36134188965e-14,700.009389469,700.009389469,70.0
3,0.9,0.0224452710642,0.0224444973895,8.14026964378e-20,7.49568140266e-14,3.86742424749e-07,1.1416417843e-14,700.009840774,700.009840774,70.0
4,0.999999999999,0.0242015520551,0.024200736338,6.98425691849e-20,9.163885318e-14,4.07754013106e-07,9.79146278075e-15,700.010226069,700.010226069,70.0
5,1.1,0.0258569249727,0.0258560719703,6.11667258503e-20,1.09438608487e-13,4.2638752411e-07,8.55178338259e-15,700.010557201,700.010557201,70.0
6,1.2,0.0274198435519,0.027418957425,5.44710707986e-20,1.28227245327e-13,4.42941069522e-07,7.5817017294e-15,700.010843522,700.010843522,70.0
7,1.3,0.0288978428809,0.0288969272837,4.91831078469e-20,1.47889123626e-13,4.57667937203e-07,6.80635463461e-15,700.011092496,700.011092496,70.0
8,1.4,0.0302976608852,0.0302967190392,4.4925517708e-20,1.68320561124e-13,4.70784501128e-07,6.17547707842e-15,700.011310125,700.011310125,70.0
9,1.6,0.0328863195391,0.0328853334242,3.8549226183e-20,2.11129605696e-13,4.92904301591e-07,5.21789596717e-15,700.011669946,700.011669946,70.0
10,1.8,0.0352273160894,0.0352262947477,3.40582064657e-20,2.56017921508e-13,5.10504377858e-07,4.53227028433e-15,700.011952352,700.011952352,70.0
11,2.0,0.0373545694765,0.0373535201293,3.07665407572e-20,3.02468822822e-13,5.24494978473e-07,4.02207708231e-15,700.012177449,700.012177449,70.0
12,2.19999999999,0.0392960751665,0.0392950036374,2.82787456681e-20,3.50059483688e-13,5.355747954e-07,3.63069698298e-15,700.01235933,700.01235933,70.0
13,2.40000000001,0.0410751441256,0.0410740551511,2.63526711658e-20,3.98441276627e-13,5.44287321091e-07,3.32299341366e-15,700.012508067,700.012508067,70.0
14,2.59999999999,0.0427113433019,0.0427102407626,2.48326767827e-20,4.47324867598e-13,5.51060344014e-07,3.07614227521e-15,700.012630991,700.012630991,70.0
